id,index,ret_subj,ploss_subj,avgloss_subj,exploss_subj,glscore_calc,experience_stockmarket_subj,experience_swiss_stockmarket_subj,knowledge_stockmarket_subj,knowledge_swiss_stockmarket_subj,num_investments_subj,mroi_obj,var_obj,avgloss_obj,ploss_obj,maxloss_obj,evloss_x_ploss_obj,quest,perceived
60,ABBN,7,40,25,25,11,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
64,ABBN,6,5,10,6,10,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
65,ABBN,6,5,15,10,10,3,1,3,1,3,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,2
66,ABBN,2,70,0,10,10,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
67,ABBN,7,30,25,18,12,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
68,ABBN,6,30,20,20,10,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
70,ABBN,7,35,24,25,8,2,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
71,ABBN,6,19,19,20,10,4,1,4,1,1,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
72,ABBN,7,40,30,20,11,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,4
74,ABBN,5,30,20,20,11,5,1,4,1,100,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
75,ABBN,6,4,25,8,12,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
76,ABBN,6,30,20,15,9,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
78,ABBN,7,25,0,0,9,3,1,3,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
80,ABBN,7,75,70,80,10,3,3,4,4,15,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
