"firm";"year";"date";"ROIyearly"
"ABBN";2003;2003-06-01;0.806451612903226
"ABBN";2004;2004-06-01;0.0446428571428571
"ABBN";2005;2005-06-01;1.01751313485114
"ABBN";2006;2006-06-01;0.722222222222222
"ABBN";2007;2007-06-01;0.4375
"ABBN";2008;2008-06-01;-0.468443197755961
"ABBN";2009;2009-06-01;0.243403693931398
"ABBN";2010;2010-06-01;0.0924234282643739
"ABBN";2011;2011-06-01;-0.14186162269786
"ABBN";2012;2012-06-01;0.0730858468677495
"ABBN";2013;2013-06-01;0.198918918918919
"ABBN";2014;2014-06-01;-0.0973850315599639
"ABBN";2015;2015-06-01;-0.167832167832168
"ActelionN";2003;2003-06-01;1.08139534883721
"ActelionN";2004;2004-06-01;-0.161266294227188
"ActelionN";2005;2005-06-01;-0.0791489361702127
"ActelionN";2006;2006-06-01;1.5
"ActelionN";2007;2007-06-01;-0.0314232902033272
"ActelionN";2008;2008-06-01;0.145038167938931
"ActelionN";2009;2009-06-01;-0.0666666666666667
"ActelionN";2010;2010-06-01;-0.0648648648648649
"ActelionN";2011;2011-06-01;-0.35837366892546
"ActelionN";2012;2012-06-01;0.332830416415208
"ActelionN";2013;2013-06-01;0.693457097577541
"ActelionN";2014;2014-06-01;0.549465240641711
"ActelionN";2015;2015-06-01;0.197584124245039
"AdeccoGroupN";2003;2003-06-01;0.379399141630901
"AdeccoGroupN";2004;2004-06-01;-0.284380833851898
"AdeccoGroupN";2005;2005-06-01;0.0608695652173913
"AdeccoGroupN";2006;2006-06-01;0.385245901639344
"AdeccoGroupN";2007;2007-06-01;-0.275739644970414
"AdeccoGroupN";2008;2008-06-01;-0.401307189542484
"AdeccoGroupN";2009;2009-06-01;0.596615720524017
"AdeccoGroupN";2010;2010-06-01;0.0991304347826087
"AdeccoGroupN";2011;2011-06-01;-0.357085668534828
"AdeccoGroupN";2012;2012-06-01;0.219178082191781
"AdeccoGroupN";2013;2013-06-01;0.435137895812053
"AdeccoGroupN";2014;2014-06-01;-0.0234875444839858
"AdeccoGroupN";2015;2015-06-01;-0.0138483965014576
"CSGroupN";2003;2003-06-01;0.425145348837209
"CSGroupN";2004;2004-06-01;0.0831208567057623
"CSGroupN";2005;2005-06-01;0.407762338284619
"CSGroupN";2006;2006-06-01;0.274676650782846
"CSGroupN";2007;2007-06-01;-0.217489986648865
"CSGroupN";2008;2008-06-01;-0.550076778706705
"CSGroupN";2009;2009-06-01;0.783086841107319
"CSGroupN";2010;2010-06-01;-0.259267480577136
"CSGroupN";2011;2011-06-01;-0.402347276557328
"CSGroupN";2012;2012-06-01;0.0196374622356496
"CSGroupN";2013;2013-06-01;0.203456790123457
"CSGroupN";2014;2014-06-01;-0.0808370947886747
