"firm","year","date","ROIyearly","ROIyearly2","uniparkorder","i.uniparkorder"
"ABBN",2003,2003-06-01,0.806451612903226,0.806451612903226,1,1
"ABBN",2004,2004-06-01,0.0446428571428571,0.0446428571428571,1,1
"ABBN",2005,2005-06-01,1.01751313485114,1,1,1
"ABBN",2006,2006-06-01,0.722222222222222,0.722222222222222,1,1
"ABBN",2007,2007-06-01,0.4375,0.4375,1,1
"ABBN",2008,2008-06-01,-0.468443197755961,-0.468443197755961,1,1
"ABBN",2009,2009-06-01,0.243403693931398,0.243403693931398,1,1
"ABBN",2010,2010-06-01,0.0924234282643739,0.0924234282643739,1,1
"ABBN",2011,2011-06-01,-0.14186162269786,-0.14186162269786,1,1
"ABBN",2012,2012-06-01,0.0730858468677495,0.0730858468677495,1,1
"ABBN",2013,2013-06-01,0.198918918918919,0.198918918918919,1,1
"ABBN",2014,2014-06-01,-0.0973850315599639,-0.0973850315599639,1,1
"ABBN",2015,2015-06-01,-0.167832167832168,-0.167832167832168,1,1
"ActelionN",2003,2003-06-01,1.08139534883721,1,2,2
"ActelionN",2004,2004-06-01,-0.161266294227188,-0.161266294227188,2,2
"ActelionN",2005,2005-06-01,-0.0791489361702127,-0.0791489361702127,2,2
"ActelionN",2006,2006-06-01,1.5,1,2,2
"ActelionN",2007,2007-06-01,-0.0314232902033272,-0.0314232902033272,2,2
"ActelionN",2008,2008-06-01,0.145038167938931,0.145038167938931,2,2
"ActelionN",2009,2009-06-01,-0.0666666666666667,-0.0666666666666667,2,2
"ActelionN",2010,2010-06-01,-0.0648648648648649,-0.0648648648648649,2,2
"ActelionN",2011,2011-06-01,-0.35837366892546,-0.35837366892546,2,2
"ActelionN",2012,2012-06-01,0.332830416415208,0.332830416415208,2,2
"ActelionN",2013,2013-06-01,0.693457097577541,0.693457097577541,2,2
"ActelionN",2014,2014-06-01,0.549465240641711,0.549465240641711,2,2
"ActelionN",2015,2015-06-01,0.197584124245039,0.197584124245039,2,2
"AdeccoGroupN",2003,2003-06-01,0.379399141630901,0.379399141630901,3,3
"AdeccoGroupN",2004,2004-06-01,-0.284380833851898,-0.284380833851898,3,3
"AdeccoGroupN",2005,2005-06-01,0.0608695652173913,0.0608695652173913,3,3
"AdeccoGroupN",2006,2006-06-01,0.385245901639344,0.385245901639344,3,3
"AdeccoGroupN",2007,2007-06-01,-0.275739644970414,-0.275739644970414,3,3
"AdeccoGroupN",2008,2008-06-01,-0.401307189542484,-0.401307189542484,3,3
"AdeccoGroupN",2009,2009-06-01,0.596615720524017,0.596615720524017,3,3
"AdeccoGroupN",2010,2010-06-01,0.0991304347826087,0.0991304347826087,3,3
"AdeccoGroupN",2011,2011-06-01,-0.357085668534828,-0.357085668534828,3,3
"AdeccoGroupN",2012,2012-06-01,0.219178082191781,0.219178082191781,3,3
"AdeccoGroupN",2013,2013-06-01,0.435137895812053,0.435137895812053,3,3
"AdeccoGroupN",2014,2014-06-01,-0.0234875444839858,-0.0234875444839858,3,3
"AdeccoGroupN",2015,2015-06-01,-0.0138483965014576,-0.0138483965014576,3,3
"CSGroupN",2003,2003-06-01,0.425145348837209,0.425145348837209,4,4
"CSGroupN",2004,2004-06-01,0.0831208567057623,0.0831208567057623,4,4
"CSGroupN",2005,2005-06-01,0.407762338284619,0.407762338284619,4,4
"CSGroupN",2006,2006-06-01,0.274676650782846,0.274676650782846,4,4
"CSGroupN",2007,2007-06-01,-0.217489986648865,-0.217489986648865,4,4
"CSGroupN",2008,2008-06-01,-0.550076778706705,-0.550076778706705,4,4
"CSGroupN",2009,2009-06-01,0.783086841107319,0.783086841107319,4,4
"CSGroupN",2010,2010-06-01,-0.259267480577136,-0.259267480577136,4,4
"CSGroupN",2011,2011-06-01,-0.402347276557328,-0.402347276557328,4,4
"CSGroupN",2012,2012-06-01,0.0196374622356496,0.0196374622356496,4,4
"CSGroupN",2013,2013-06-01,0.203456790123457,0.203456790123457,4,4
"CSGroupN",2014,2014-06-01,-0.0808370947886747,-0.0808370947886747,4,4
"CSGroupN",2015,2015-06-01,-0.0982142857142857,-0.0982142857142857,4,4
"GeberitN",2003,2003-06-01,0.568275154004107,0.568275154004107,5,5
"GeberitN",2004,2004-06-01,0.438625204582651,0.438625204582651,5,5
"GeberitN",2005,2005-06-01,0.254665863937387,0.254665863937387,5,5
"GeberitN",2006,2006-06-01,0.806142034548944,0.806142034548944,5,5
"GeberitN",2007,2007-06-01,-0.17375132837407,-0.17375132837407,5,5
"GeberitN",2008,2008-06-01,-0.251446945337621,-0.251446945337621,5,5
"GeberitN",2009,2009-06-01,0.583333333333333,0.583333333333333,5,5
"GeberitN",2010,2010-06-01,0.192391304347826,0.192391304347826,5,5
"GeberitN",2011,2011-06-01,-0.161731207289294,-0.161731207289294,5,5
"GeberitN",2012,2012-06-01,0.1125,0.1125,5,5
"GeberitN",2013,2013-06-01,0.31704934049829,0.31704934049829,5,5
"GeberitN",2014,2014-06-01,0.253709198813056,0.253709198813056,5,5
"GeberitN",2015,2015-06-01,0.00857988165680467,0.00857988165680467,5,5
"GivaudanN",2003,2003-06-01,0.0287034420861936,0.0287034420861936,6,6
"GivaudanN",2004,2004-06-01,0.170549649400588,0.170549649400588,6,6
"GivaudanN",2005,2005-06-01,0.181449275362319,0.181449275362319,6,6
"GivaudanN",2006,2006-06-01,0.281391653815599,0.281391653815599,6,6
"GivaudanN",2007,2007-06-01,-0.0376178406666545,-0.0376178406666545,6,6
"GivaudanN",2008,2008-06-01,-0.230910606692182,-0.230910606692182,6,6
"GivaudanN",2009,2009-06-01,0.0248577270823581,0.0248577270823581,6,6
"GivaudanN",2010,2010-06-01,0.240875912408759,0.240875912408759,6,6
"GivaudanN",2011,2011-06-01,-0.10871694417238,-0.10871694417238,6,6
"GivaudanN",2012,2012-06-01,0.0659340659340659,0.0659340659340659,6,6
"GivaudanN",2013,2013-06-01,0.311340206185567,0.311340206185567,6,6
"GivaudanN",2014,2014-06-01,0.415880503144654,0.415880503144654,6,6
"GivaudanN",2015,2015-06-01,-0.00666296501943365,-0.00666296501943365,6,6
"LafargeHolcimN",2003,2003-06-01,0.103212576896787,0.103212576896787,7,7
