Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;13.67;13.8;13.83;13.62;8'992'386
25.10.16;13.95;13.67;13.99;13.66;8'199'651
24.10.16;13.71;13.86;13.99;13.71;11'613'754
21.10.16;13.68;13.58;13.73;13.52;8'717'599
20.10.16;13.51;13.57;13.65;13.36;11'112'717
19.10.16;13.22;13.51;13.6;13.17;14'292'225
18.10.16;13;13.16;13.22;12.99;8'375'168
17.10.16;12.92;12.91;13.11;12.89;6'742'504
14.10.16;12.72;13.01;13.18;12.69;11'271'453
13.10.16;12.93;12.62;12.93;12.56;10'545'402
12.10.16;13.14;13.04;13.2;13.03;5'338'476
11.10.16;13.04;13.18;13.27;13.04;7'156'182
10.10.16;12.89;13.16;13.19;12.76;8'647'176
07.10.16;13.2;13.06;13.34;12.97;12'026'393
06.10.16;13.34;13.17;13.49;13.07;10'427'499
05.10.16;13.05;13.31;13.35;13.04;11'807'623
04.10.16;12.85;13.17;13.19;12.82;12'415'211
03.10.16;12.78;12.81;12.94;12.68;9'364'102
30.09.16;12.06;12.71;12.73;11.91;26'106'064
29.09.16;12.59;12.6;12.7;12.54;11'191'134
28.09.16;12.47;12.38;12.72;12.28;12'858'081
27.09.16;12.86;12.38;12.98;12.24;20'496'732
26.09.16;12.96;12.8;12.98;12.66;14'228'747
23.09.16;13.12;13.13;13.13;12.9;8'027'921
22.09.16;12.87;13.14;13.25;12.86;10'274'118
21.09.16;12.78;12.81;12.89;12.67;8'573'904
20.09.16;12.7;12.62;12.72;12.41;14'460'156
19.09.16;13;12.78;13;12.77;10'271'138
16.09.16;13.08;12.82;13.09;12.6;43'884'315
15.09.16;13.06;13.35;13.41;13.04;15'239'739
14.09.16;13.25;13.1;13.29;13.03;12'240'676
13.09.16;13.37;13.2;13.46;13.2;11'351'945
12.09.16;13.3;13.31;13.38;13.07;13'594'095
09.09.16;13.3;13.58;13.66;13.26;17'979'461
08.09.16;13;13.25;13.28;13;15'918'531
07.09.16;12.75;12.99;13.04;12.57;13'588'191
06.09.16;13.05;12.79;13.11;12.79;10'832'093
05.09.16;13.02;13.06;13.21;12.92;9'986'595
02.09.16;12.95;13;13;12.68;12'544'581
01.09.16;12.96;12.85;13.29;12.69;17'581'465
31.08.16;12.53;12.81;13.09;12.5;19'230'738
30.08.16;12.24;12.53;12.6;12.22;12'945'320
29.08.16;12.18;12.2;12.29;12.13;9'347'722
26.08.16;12;12.17;12.22;11.96;11'865'038
25.08.16;11.9;12.02;12.02;11.87;14'317'484
24.08.16;11.81;11.98;12.02;11.68;13'007'112
23.08.16;11.54;11.82;11.85;11.53;9'454'737
22.08.16;11.42;11.51;11.61;11.35;9'952'259
19.08.16;11.61;11.4;11.61;11.34;10'420'379
18.08.16;11.55;11.56;11.59;11.48;8'758'931
17.08.16;11.66;11.51;11.71;11.46;7'737'221
16.08.16;11.61;11.65;11.71;11.55;8'464'614
15.08.16;11.74;11.68;11.77;11.65;5'659'305
