Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;1'919.00;1'921.00;1'924.00;1'907.00;14'947
25.10.16;1'930.00;1'930.00;1'949.00;1'926.00;19'987
24.10.16;1'932.00;1'924.00;1'938.00;1'914.00;23'687
21.10.16;1'933.00;1'924.00;1'943.00;1'921.00;19'109
20.10.16;1'965.00;1'935.00;1'965.00;1'931.00;23'389
19.10.16;1'937.00;1'955.00;1'969.00;1'937.00;27'245
18.10.16;1'939.00;1'943.00;1'953.00;1'938.00;18'232
17.10.16;1'942.00;1'932.00;1'946.00;1'930.00;14'709
14.10.16;1'924.00;1'947.00;1'958.00;1'924.00;18'391
13.10.16;1'925.00;1'922.00;1'931.00;1'911.00;24'976
12.10.16;1'951.00;1'930.00;1'953.00;1'928.00;21'015
11.10.16;1'987.00;1'947.00;1'987.00;1'947.00;19'481
10.10.16;1'970.00;1'981.00;1'987.00;1'942.00;32'448
07.10.16;2'000.00;1'976.00;2'000.00;1'976.00;21'107
06.10.16;2'005.00;1'994.00;2'010.00;1'984.00;22'754
05.10.16;1'987.00;2'004.00;2'004.00;1'982.00;27'587
04.10.16;2'003.00;2'001.00;2'006.00;1'988.00;24'530
03.10.16;1'969.00;1'991.00;1'993.00;1'969.00;18'332
30.09.16;1'952.00;1'977.00;1'977.00;1'945.00;36'593
29.09.16;2'014.00;1'967.00;2'021.00;1'966.00;27'705
28.09.16;1'996.00;2'002.00;2'005.00;1'994.00;18'762
27.09.16;2'005.00;1'985.00;2'008.00;1'977.00;16'677
26.09.16;1'991.00;1'989.00;1'994.00;1'982.00;17'896
23.09.16;2'004.00;2'004.00;2'010.00;1'994.00;13'295
22.09.16;2'003.00;2'004.00;2'010.00;1'998.00;29'296
21.09.16;2'019.00;1'994.00;2'022.00;1'980.00;21'146
20.09.16;2'008.00;2'009.00;2'024.00;2'001.00;17'787
19.09.16;2'006.00;2'011.00;2'014.00;2'001.00;12'122
16.09.16;2'007.00;1'999.00;2'015.00;1'985.00;39'714
15.09.16;2'007.00;2'015.00;2'017.00;1'996.00;13'493
14.09.16;2'005.00;2'005.00;2'018.00;1'998.00;11'124
13.09.16;2'028.00;1'996.00;2'030.00;1'996.00;18'093
12.09.16;2'000.00;2'018.00;2'020.00;1'985.00;18'584
09.09.16;2'059.00;2'022.00;2'059.00;2'015.00;26'421
08.09.16;2'069.00;2'061.00;2'089.00;2'060.00;18'378
07.09.16;2'059.00;2'069.00;2'072.00;2'045.00;18'340
06.09.16;2'070.00;2'051.00;2'077.00;2'047.00;19'270
05.09.16;2'064.00;2'069.00;2'079.00;2'056.00;14'629
02.09.16;2'050.00;2'069.00;2'069.00;2'035.00;14'260
01.09.16;2'044.00;2'044.00;2'062.00;2'035.00;18'428
31.08.16;2'052.00;2'033.00;2'065.00;2'027.00;22'570
30.08.16;2'058.00;2'060.00;2'069.00;2'056.00;17'461
29.08.16;2'040.00;2'057.00;2'057.00;2'032.00;8'459
26.08.16;2'034.00;2'048.00;2'051.00;2'027.00;13'900
25.08.16;2'031.00;2'032.00;2'042.00;2'024.00;13'505
24.08.16;2'033.00;2'043.00;2'052.00;2'029.00;12'806
23.08.16;2'033.00;2'041.00;2'055.00;2'033.00;19'199
22.08.16;2'033.00;2'030.00;2'035.00;2'014.00;15'325
19.08.16;2'050.00;2'027.00;2'050.00;2'022.00;16'359
18.08.16;2'038.00;2'042.00;2'044.00;2'030.00;10'241
17.08.16;2'037.00;2'031.00;2'042.00;2'025.00;14'081
16.08.16;2'054.00;2'033.00;2'060.00;2'030.00;16'974
15.08.16;2'055.00;2'065.00;2'065.00;2'054.00;8'902
12.08.16;2'068.00;2'062.00;2'074.00;2'056.00;15'205
11.08.16;2'045.00;2'074.00;2'074.00;2'044.00;19'392
10.08.16;2'044.00;2'037.00;2'044.00;2'030.00;15'036
09.08.16;2'013.00;2'046.00;2'046.00;2'007.00;14'848
08.08.16;2'007.00;2'018.00;2'022.00;2'007.00;11'699
