Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;53.45;53.35;53.75;53;1'220'161
25.10.16;53.75;53.65;54.05;53.6;1'229'985
24.10.16;53.4;53.4;54;53.35;1'071'962
21.10.16;53.45;53.3;53.9;52.95;1'731'251
20.10.16;52.95;53.3;53.35;52.7;1'637'111
19.10.16;52.5;52.9;53;52.3;1'477'570
18.10.16;51.45;52.65;52.95;51.45;2'291'766
17.10.16;51;50.95;51.5;50.75;1'586'588
14.10.16;49.94;51.15;51.5;49.85;1'724'052
13.10.16;51;49.7;51.15;49.09;2'607'413
12.10.16;51.85;51.3;52;51.2;1'020'899
11.10.16;52.4;51.85;52.9;51.85;1'299'254
10.10.16;51.75;52.6;52.6;51.6;911'310
07.10.16;52.6;51.9;52.6;51.75;1'132'939
06.10.16;52.8;52.45;52.95;52.15;934'373
05.10.16;52.35;52.65;52.9;52;1'249'602
04.10.16;52.55;52.95;53.25;52.2;1'259'121
03.10.16;52.3;52.5;52.7;52.05;990'309
30.09.16;51.55;52.5;52.65;51.35;2'432'963
29.09.16;53.45;52.65;53.85;52.6;1'915'545
28.09.16;52.1;52.65;53.15;52.1;1'723'469
27.09.16;52.2;51.75;52.9;51.1;1'235'541
26.09.16;52.25;51.7;52.35;51.7;1'456'406
23.09.16;53.15;52.85;53.2;52.6;1'373'542
22.09.16;51.45;53.1;53.35;51.45;1'835'638
21.09.16;50.3;51.1;51.2;50.3;1'504'865
20.09.16;50.35;49.93;50.35;49.84;1'181'596
19.09.16;49.88;50.1;50.3;49.6;1'283'814
16.09.16;50.1;49.24;50.25;48.95;3'386'484
15.09.16;49.72;50.35;50.35;49.69;1'417'865
14.09.16;50.05;49.83;50.1;49.42;1'415'794
13.09.16;50.2;49.68;50.8;49.68;1'779'902
12.09.16;50;49.78;50.15;49.26;1'769'363
09.09.16;52;50.75;52.15;50.55;1'776'883
08.09.16;52.8;52.4;53.1;51.95;1'316'531
07.09.16;52.3;52.9;53.1;51.7;1'700'619
06.09.16;52.45;52.05;52.8;51.85;1'409'193
05.09.16;52.1;52.45;52.7;52.05;1'013'885
02.09.16;51.8;52.05;52.05;50.8;1'553'841
01.09.16;52.3;51.75;52.65;51.4;1'843'831
31.08.16;52.7;52.15;53;52.1;1'659'988
30.08.16;51.7;52.95;53.25;51.7;2'124'284
29.08.16;51.3;51.25;51.45;50.6;959'813
26.08.16;50.9;51.8;52;50.65;933'379
25.08.16;50.75;51.05;51.1;50.3;887'033
24.08.16;50.8;51.3;51.55;50.7;1'140'045
23.08.16;50.9;51.2;51.45;50.6;1'017'961
22.08.16;50.3;50.65;51;49.98;1'281'188
19.08.16;51.4;50.2;51.4;50.15;1'507'974
18.08.16;51.1;51;51.5;50.7;1'263'273
