Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;72.2;71.2;72.4;70.6;7'250'316
25.10.16;74;72.55;74.25;72.25;6'853'416
24.10.16;75.2;74.6;75.3;74.2;4'155'207
21.10.16;75.1;74.9;75.3;74.4;4'415'632
20.10.16;75.05;75.2;75.5;74.35;3'812'368
19.10.16;75.6;74.9;75.6;74.75;3'164'555
18.10.16;74.95;75.15;75.4;74.6;3'523'890
17.10.16;75.05;74.5;75.35;74.5;4'855'641
14.10.16;75.25;75.4;76.05;75.2;5'390'771
13.10.16;74.8;74.55;74.8;73.5;5'375'355
12.10.16;76;74.85;76;74.85;4'392'806
11.10.16;76;76;76.3;75.7;4'523'279
10.10.16;76.25;76.35;76.4;75.45;5'169'252
07.10.16;76.7;76.55;77.05;76.35;3'748'670
06.10.16;77.15;76.85;77.35;76.75;2'905'657
05.10.16;77;77.2;77.45;76.75;3'241'986
04.10.16;76.9;77.6;77.7;76.85;4'153'772
03.10.16;77;76.9;77.15;76.4;2'780'638
30.09.16;76.75;76.4;76.75;75.55;6'811'139
29.09.16;78.9;77.25;79.1;77.1;4'076'071
28.09.16;78.4;78.55;79.05;78.25;3'556'647
27.09.16;78.2;78.1;78.45;77.3;3'544'352
26.09.16;78.7;78;78.8;78;3'880'553
23.09.16;79.4;79.15;79.4;78.6;3'773'241
22.09.16;79.4;79.25;79.45;78.95;4'019'197
21.09.16;79.55;78.95;79.7;78.9;3'269'515
20.09.16;78.35;79.3;79.8;78.15;3'970'781
19.09.16;78.3;78.6;78.6;78.05;3'439'211
16.09.16;77.75;77.55;78.05;77.4;9'681'801
15.09.16;76.95;77.55;77.55;76.65;3'060'548
14.09.16;77.4;77.2;77.5;77;3'615'906
13.09.16;77.5;77;77.75;77;3'508'871
12.09.16;76.75;77.25;77.4;76.35;3'827'896
09.09.16;77.75;77.4;77.95;77.4;2'905'457
08.09.16;77.9;78.05;78.55;77.85;3'478'968
07.09.16;77.8;78.1;78.3;77.45;3'416'576
06.09.16;78;77.9;78.25;77.75;2'747'068
