Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;2'106.00;2'084.00;2'112.00;2'082.00;21'282
25.10.16;2'123.00;2'112.00;2'130.00;2'112.00;10'207
24.10.16;2'126.00;2'114.00;2'132.00;2'113.00;10'014
21.10.16;2'124.00;2'115.00;2'127.00;2'115.00;9'768
20.10.16;2'130.00;2'124.00;2'134.00;2'115.00;13'414
19.10.16;2'102.00;2'130.00;2'136.00;2'097.00;18'362
18.10.16;2'086.00;2'105.00;2'108.00;2'065.00;30'517
17.10.16;2'117.00;2'111.00;2'119.00;2'104.00;14'907
14.10.16;2'101.00;2'119.00;2'120.00;2'101.00;12'628
13.10.16;2'121.00;2'102.00;2'126.00;2'093.00;22'788
12.10.16;2'160.00;2'143.00;2'160.00;2'140.00;10'721
11.10.16;2'165.00;2'154.00;2'176.00;2'153.00;10'252
10.10.16;2'163.00;2'175.00;2'175.00;2'154.00;12'035
07.10.16;2'168.00;2'159.00;2'172.00;2'159.00;15'923
06.10.16;2'180.00;2'171.00;2'187.00;2'169.00;8'530
05.10.16;2'194.00;2'182.00;2'202.00;2'179.00;14'025
04.10.16;2'167.00;2'208.00;2'208.00;2'167.00;13'473
03.10.16;2'164.00;2'163.00;2'174.00;2'157.00;17'706
30.09.16;2'135.00;2'175.00;2'175.00;2'124.00;18'826
29.09.16;2'169.00;2'151.00;2'179.00;2'147.00;10'839
28.09.16;2'160.00;2'152.00;2'180.00;2'147.00;11'287
27.09.16;2'158.00;2'157.00;2'165.00;2'144.00;12'527
26.09.16;2'156.00;2'149.00;2'160.00;2'137.00;14'625
23.09.16;2'194.00;2'170.00;2'197.00;2'170.00;11'293
22.09.16;2'160.00;2'196.00;2'199.00;2'160.00;15'408
21.09.16;2'180.00;2'157.00;2'181.00;2'150.00;12'321
20.09.16;2'167.00;2'170.00;2'182.00;2'154.00;9'801
19.09.16;2'150.00;2'165.00;2'166.00;2'138.00;10'983
16.09.16;2'149.00;2'135.00;2'159.00;2'132.00;24'466
15.09.16;2'138.00;2'152.00;2'153.00;2'134.00;10'358
14.09.16;2'142.00;2'131.00;2'148.00;2'129.00;13'659
13.09.16;2'159.00;2'129.00;2'167.00;2'129.00;12'032
12.09.16;2'136.00;2'149.00;2'150.00;2'122.00;13'106
09.09.16;2'168.00;2'159.00;2'196.00;2'155.00;18'008
08.09.16;2'212.00;2'207.00;2'226.00;2'203.00;9'986
07.09.16;2'200.00;2'210.00;2'211.00;2'189.00;7'386
06.09.16;2'205.00;2'195.00;2'207.00;2'193.00;8'003
05.09.16;2'211.00;2'206.00;2'220.00;2'202.00;8'443
02.09.16;2'169.00;2'207.00;2'207.00;2'168.00;11'931
01.09.16;2'155.00;2'171.00;2'183.00;2'152.00;14'022
31.08.16;2'174.00;2'161.00;2'174.00;2'153.00;17'597
30.08.16;2'185.00;2'174.00;2'193.00;2'166.00;10'214
29.08.16;2'166.00;2'178.00;2'185.00;2'164.00;9'220
26.08.16;2'166.00;2'170.00;2'171.00;2'153.00;17'100
25.08.16;2'165.00;2'164.00;2'174.00;2'154.00;12'671
24.08.16;2'161.00;2'169.00;2'181.00;2'160.00;8'541
23.08.16;2'170.00;2'172.00;2'178.00;2'159.00;10'862
22.08.16;2'168.00;2'157.00;2'183.00;2'152.00;8'207
19.08.16;2'169.00;2'166.00;2'173.00;2'155.00;12'004
18.08.16;2'169.00;2'172.00;2'172.00;2'164.00;8'764
17.08.16;2'168.00;2'158.00;2'180.00;2'145.00;11'022
16.08.16;2'186.00;2'168.00;2'186.00;2'155.00;19'299
15.08.16;2'195.00;2'189.00;2'196.00;2'176.00;8'367
12.08.16;2'201.00;2'189.00;2'205.00;2'186.00;11'627
11.08.16;2'182.00;2'192.00;2'205.00;2'178.00;11'623
10.08.16;2'157.00;2'182.00;2'186.00;2'155.00;16'608
09.08.16;2'144.00;2'171.00;2'174.00;2'139.00;12'754
08.08.16;2'160.00;2'140.00;2'160.00;2'137.00;13'724
05.08.16;2'132.00;2'151.00;2'163.00;2'131.00;13'283
04.08.16;2'133.00;2'132.00;2'136.00;2'109.00;12'720
03.08.16;2'136.00;2'116.00;2'136.00;2'113.00;11'548
02.08.16;2'122.00;2'127.00;2'144.00;2'118.00;14'510
29.07.16;2'147.00;2'145.00;2'149.00;2'126.00;13'717
28.07.16;2'167.00;2'144.00;2'194.00;2'143.00;16'241
27.07.16;2'182.00;2'174.00;2'194.00;2'174.00;11'541
26.07.16;2'161.00;2'169.00;2'175.00;2'154.00;11'796
25.07.16;2'163.00;2'165.00;2'173.00;2'154.00;12'419
22.07.16;2'158.00;2'168.00;2'175.00;2'143.00;14'490
21.07.16;2'176.00;2'157.00;2'176.00;2'136.00;23'037
20.07.16;2'176.00;2'174.00;2'209.00;2'158.00;19'503
19.07.16;2'186.00;2'186.00;2'200.00;2'162.00;23'729
18.07.16;2'217.00;2'204.00;2'226.00;2'166.00;41'528
15.07.16;2'300.00;2'314.00;2'317.00;2'281.00;17'031
14.07.16;2'294.00;2'291.00;2'299.00;2'284.00;15'511
13.07.16;2'282.00;2'290.00;2'298.00;2'276.00;16'909
12.07.16;2'267.00;2'283.00;2'286.00;2'260.00;16'642
11.07.16;2'250.00;2'272.00;2'279.00;2'236.00;16'015
08.07.16;2'206.00;2'240.00;2'243.00;2'203.00;11'673
07.07.16;2'192.00;2'211.00;2'218.00;2'188.00;15'053
06.07.16;2'193.00;2'182.00;2'214.00;2'179.00;16'894
05.07.16;2'212.00;2'204.00;2'223.00;2'190.00;16'962
04.07.16;2'249.00;2'225.00;2'275.00;2'223.00;11'085
01.07.16;2'228.00;2'237.00;2'244.00;2'220.00;17'552
30.06.16;2'192.00;2'226.00;2'231.00;2'185.00;24'902
29.06.16;2'150.00;2'192.00;2'192.00;2'139.00;18'715
28.06.16;2'105.00;2'126.00;2'151.00;2'103.00;25'309
27.06.16;2'117.00;2'085.00;2'149.00;2'085.00;29'800
24.06.16;2'050.00;2'115.00;2'141.00;2'020.00;42'634
23.06.16;2'162.00;2'159.00;2'190.00;2'150.00;13'128
22.06.16;2'149.00;2'163.00;2'168.00;2'136.00;11'754
21.06.16;2'132.00;2'136.00;2'147.00;2'120.00;12'491
20.06.16;2'089.00;2'131.00;2'136.00;2'089.00;23'396
17.06.16;2'073.00;2'070.00;2'084.00;2'065.00;37'376
16.06.16;2'044.00;2'049.00;2'069.00;2'035.00;20'237
15.06.16;2'062.00;2'065.00;2'087.00;2'061.00;16'746
14.06.16;2'076.00;2'051.00;2'097.00;2'051.00;32'068
13.06.16;2'133.00;2'097.00;2'133.00;2'096.00;24'217
10.06.16;2'147.00;2'123.00;2'155.00;2'115.00;16'520
09.06.16;2'168.00;2'162.00;2'171.00;2'155.00;13'659
08.06.16;2'170.00;2'175.00;2'177.00;2'164.00;10'408
07.06.16;2'179.00;2'179.00;2'184.00;2'174.00;12'376
06.06.16;2'155.00;2'169.00;2'179.00;2'153.00;12'897
03.06.16;2'155.00;2'148.00;2'174.00;2'142.00;14'890
02.06.16;2'149.00;2'151.00;2'154.00;2'140.00;11'654
01.06.16;2'124.00;2'146.00;2'151.00;2'117.00;20'442
31.05.16;2'140.00;2'121.00;2'144.00;2'121.00;30'847
30.05.16;2'155.00;2'144.00;2'157.00;2'141.00;8'019
27.05.16;2'151.00;2'150.00;2'159.00;2'137.00;16'458
26.05.16;2'126.00;2'152.00;2'157.00;2'103.00;15'574
25.05.16;2'185.00;2'136.00;2'185.00;2'133.00;22'049
24.05.16;2'157.00;2'178.00;2'183.00;2'156.00;18'253
23.05.16;2'155.00;2'166.00;2'169.00;2'143.00;17'589
20.05.16;2'137.00;2'153.00;2'158.00;2'131.00;21'246
19.05.16;2'115.00;2'124.00;2'128.00;2'113.00;14'902
18.05.16;2'098.00;2'127.00;2'127.00;2'098.00;17'562
17.05.16;2'091.00;2'107.00;2'110.00;2'080.00;18'178
13.05.16;2'071.00;2'082.00;2'086.00;2'059.00;17'641
12.05.16;2'091.00;2'089.00;2'102.00;2'077.00;16'385
11.05.16;2'099.00;2'092.00;2'104.00;2'084.00;22'235
10.05.16;2'090.00;2'096.00;2'100.00;2'081.00;20'240
09.05.16;2'098.00;2'087.00;2'100.00;2'082.00;27'333
06.05.16;2'096.00;2'090.00;2'103.00;2'084.00;17'871
04.05.16;2'112.00;2'096.00;2'120.00;2'093.00;18'707
03.05.16;2'138.00;2'119.00;2'138.00;2'108.00;14'630
02.05.16;2'119.00;2'133.00;2'144.00;2'116.00;10'057
29.04.16;2'122.00;2'111.00;2'138.00;2'106.00;18'495
28.04.16;2'151.00;2'141.00;2'157.00;2'131.00;18'614
27.04.16;2'142.00;2'157.00;2'164.00;2'136.00;12'764
26.04.16;2'165.00;2'146.00;2'167.00;2'139.00;15'510
25.04.16;2'143.00;2'154.00;2'158.00;2'140.00;17'319
22.04.16;2'132.00;2'140.00;2'144.00;2'121.00;20'787
21.04.16;2'160.00;2'140.00;2'161.00;2'129.00;22'911
20.04.16;2'145.00;2'161.00;2'161.00;2'139.00;17'890
19.04.16;2'112.00;2'145.00;2'146.00;2'109.00;21'458
18.04.16;2'083.00;2'102.00;2'105.00;2'079.00;12'387
15.04.16;2'095.00;2'098.00;2'106.00;2'079.00;25'164
14.04.16;2'094.00;2'095.00;2'101.00;2'075.00;20'949
13.04.16;2'110.00;2'090.00;2'115.00;2'083.00;30'123
12.04.16;2'091.00;2'091.00;2'098.00;2'072.00;18'319
11.04.16;2'113.00;2'103.00;2'116.00;2'096.00;19'204
08.04.16;2'098.00;2'112.00;2'115.00;2'082.00;25'658
07.04.16;2'092.00;2'092.00;2'100.00;2'085.00;21'937
06.04.16;2'054.00;2'091.00;2'105.00;2'042.00;34'508
05.04.16;2'025.00;2'054.00;2'054.00;2'020.00;31'378
04.04.16;2'033.00;2'037.00;2'053.00;2'023.00;20'072
01.04.16;2'014.00;2'034.00;2'035.00;2'007.00;26'313
31.03.16;2'021.00;2'032.00;2'037.00;2'004.00;19'497
30.03.16;2'019.00;2'029.00;2'033.00;2'016.00;24'403
