Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;257.5;258.5;258.6;256.3;111'253
25.10.16;259.8;257.6;260.6;257.6;181'152
24.10.16;257.7;259.2;260;257.3;144'438
21.10.16;257;256.4;257.8;255.3;126'473
20.10.16;258.1;257.1;258.6;255.7;151'287
19.10.16;257.2;257.3;258.1;256;122'528
18.10.16;256.4;257.7;257.8;255.4;95'233
17.10.16;256.3;254.7;257;254.2;90'121
14.10.16;252;256.3;257.6;252;158'901
13.10.16;253.9;251.3;253.9;249.3;168'412
12.10.16;253.7;254.4;255.2;252.5;93'357
11.10.16;253;253.1;254.4;252;101'194
10.10.16;252.5;254.6;255.5;251.1;132'598
07.10.16;255.3;253.6;256.2;252.4;164'139
06.10.16;255.5;254.9;257.3;253.5;109'966
05.10.16;251.9;255.9;256.9;250.3;159'776
04.10.16;252.9;254;254.1;251.2;141'368
03.10.16;250.9;252.4;253.5;250.6;116'692
30.09.16;248.5;251.5;251.5;243.5;206'392
29.09.16;254.2;250.9;254.4;250.1;99'721
28.09.16;248.9;252;253.1;248.9;126'051
27.09.16;251.9;248.7;254.9;247.2;131'072
26.09.16;253.3;250.3;253.5;249.9;132'160
23.09.16;255.9;254.9;256.2;253.8;118'895
22.09.16;254.7;256.3;257.2;253.4;147'229
21.09.16;253;252.8;254.6;251.5;138'509
20.09.16;249.4;251.2;251.8;248.9;92'380
19.09.16;248.6;249.9;249.9;247.7;74'166
16.09.16;249.7;247.1;249.7;246.8;217'922
15.09.16;246.5;250;250;246.3;146'627
14.09.16;247.7;246.6;248.7;246.2;144'760
13.09.16;249.1;246.4;250.1;246.4;137'976
12.09.16;249.6;249.2;250;246.6;146'616
09.09.16;250.3;253;253.9;250.3;160'217
08.09.16;248.5;250.9;251.5;248.4;165'506
07.09.16;248.4;248.5;248.9;245.7;109'820
06.09.16;249.1;247.4;249.4;246.8;109'208
05.09.16;248.7;249.2;249.4;247.5;101'489
02.09.16;247.8;248;248.7;244.8;168'179
01.09.16;246.1;246.8;250.3;245.6;198'937
31.08.16;243.5;246;248.3;242.9;303'675
30.08.16;241.7;243.6;244.7;241;150'680
29.08.16;240.5;240.7;241.5;239.1;122'033
26.08.16;241.2;241;242.6;238.8;142'250
25.08.16;241.5;241.1;241.7;239.1;157'617
24.08.16;242.3;242.8;243.8;241.3;138'535
23.08.16;240.5;243.6;244.5;240.1;205'526
22.08.16;237.9;239.1;241.5;237.2;167'563
19.08.16;239.6;237.9;239.6;236.5;180'115
18.08.16;237;238.9;239;236.6;182'374
17.08.16;237.9;236;238.6;235.2;164'011
16.08.16;237.6;237;238.3;235.1;161'344
15.08.16;238.5;238.4;238.5;236.1;159'923
12.08.16;237;235.5;237.3;234.1;173'867
11.08.16;238.7;237.9;240.5;235.3;345'706
10.08.16;231;231.4;232.2;229.8;188'259
09.08.16;226.7;230;230.2;226.6;166'991
08.08.16;224.5;226.4;228.7;224.5;164'431
05.08.16;220.4;223.7;224.4;220.3;126'366
04.08.16;218.5;219.8;220.7;217.7;115'725
03.08.16;218.3;216.8;219;216;137'308
02.08.16;219.8;218.1;221.1;217.4;162'836
29.07.16;219.8;221.5;222.8;218.6;154'194
28.07.16;223.3;219.2;224.4;219.2;128'635
27.07.16;220.9;223;225.3;220.9;121'366
26.07.16;220.2;220.5;221.1;218.8;112'621
25.07.16;219.4;220.1;221.5;218.1;162'644
22.07.16;220.1;219.6;221.7;219;112'070
21.07.16;222.7;220.3;223;218.9;134'778
20.07.16;220.6;221.8;223.7;219.6;143'516
19.07.16;222;219.8;222.9;218.7;155'441
18.07.16;220.4;222.4;223.6;219.4;109'965
15.07.16;221.4;219.9;223.9;219.3;118'780
14.07.16;223;221.9;223.7;220;165'315
13.07.16;220.9;221.8;223.2;220;169'383
12.07.16;217.2;220.7;222.8;216.7;183'512
11.07.16;213.2;216.8;217.1;212.3;181'337
08.07.16;211.4;211.5;212.3;209.4;303'455
07.07.16;214.4;211.9;215.5;211.4;170'852
06.07.16;216.9;212.1;217;210.9;240'452
05.07.16;223.9;217.7;224.2;216.7;203'518
04.07.16;229;224.9;229;224;133'081
01.07.16;226.4;228;229.3;224.5;143'702
30.06.16;224.2;223.9;226;221.9;242'675
29.06.16;224.6;224.7;227.7;222.3;239'666
28.06.16;222;220.7;225.1;220.4;221'595
27.06.16;225.9;216.1;226.7;215.2;275'024
24.06.16;224.7;226.5;232;221.9;302'033
23.06.16;238.9;239.4;241;236.3;134'259
22.06.16;237.4;238.5;238.8;235.5;102'243
