Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;92.5;92.65;93.15;92.05;1'218'071
25.10.16;92.25;93.05;93.45;92.1;1'979'644
24.10.16;90.7;91.45;91.9;90.7;1'332'570
21.10.16;90;90.65;90.75;89.85;1'085'263
20.10.16;90;90.15;90.5;89.35;1'216'383
19.10.16;89.3;89.9;90;88.7;1'308'346
18.10.16;88.65;89.35;89.7;88.15;1'619'817
17.10.16;88.5;88.05;89.1;87.85;1'116'538
14.10.16;87.65;88.7;89.35;87.45;1'248'237
13.10.16;87.3;87;87.4;86.45;1'210'744
12.10.16;87.65;87.9;88.15;87.15;854'649
11.10.16;87.95;87.7;88.35;87.4;1'211'631
10.10.16;86.35;88.3;88.8;86.2;2'096'467
07.10.16;84.25;85.9;86.1;83.2;2'647'083
06.10.16;86.6;84.75;86.85;84.75;1'522'676
05.10.16;85.85;86.25;86.7;85.35;1'279'289
04.10.16;86.7;86.35;87.5;85.9;1'429'496
03.10.16;87.3;86.9;87.65;86.55;856'636
30.09.16;86.3;87.65;87.7;84.55;1'570'809
29.09.16;88.25;86.95;88.6;86.65;1'155'888
28.09.16;87.2;87.55;88.05;87.2;894'407
27.09.16;88.4;87.15;88.55;86.5;1'349'525
26.09.16;88.2;88;88.6;87;1'207'352
23.09.16;87.5;88.6;88.85;87.5;1'388'299
22.09.16;86.3;87.85;88;86.3;1'442'229
21.09.16;85.7;86;86.45;85.6;1'323'506
20.09.16;84.55;85.15;85.55;84.4;867'860
19.09.16;84.35;84.9;85.15;84.2;734'679
16.09.16;84.85;83.95;84.95;83.75;2'329'835
15.09.16;84.5;85;85;84.05;1'135'829
14.09.16;85.25;84.4;85.3;84.1;1'218'272
13.09.16;85.9;84.85;86.2;84.85;1'099'609
12.09.16;85.25;85.75;86.1;85.15;1'364'117
09.09.16;86.35;86.45;87.65;86.3;1'510'187
08.09.16;85.45;87.4;87.75;85.45;1'710'418
07.09.16;85.25;85.65;86;84.7;1'154'078
06.09.16;85.05;85.25;86.1;85.05;1'265'180
05.09.16;84.35;84.95;85.25;83.95;1'073'301
02.09.16;82.7;84.2;84.2;82.35;1'114'600
01.09.16;83.05;83.2;84.1;82.85;1'031'289
31.08.16;82.05;83;83.45;81.95;1'123'870
30.08.16;81.05;82.05;82.45;80.95;1'060'406
29.08.16;80.8;80.9;81.45;80.7;555'767
26.08.16;81;81.25;81.4;80.55;857'887
25.08.16;81.3;81;81.35;80.65;818'024
24.08.16;81.55;81.55;82.25;81.1;722'138
23.08.16;80.9;81.8;81.85;80.85;769'309
22.08.16;80.5;80.9;81.85;80.35;863'744
19.08.16;81.85;80.5;81.85;80.15;1'017'860
18.08.16;81.35;81.5;81.55;80.7;1'097'917
17.08.16;83.15;81.75;83.6;81.7;890'943
16.08.16;83.65;83.1;83.75;82.7;742'934
15.08.16;84.15;84.25;84.25;83.95;390'402
12.08.16;84.2;84.25;84.5;83.95;605'419
11.08.16;84.05;84.65;84.7;83.75;733'174
10.08.16;84;84.25;84.85;83.95;719'766
09.08.16;83.65;84.5;84.75;83.5;954'808
08.08.16;82.85;83.45;83.95;82.7;665'073
05.08.16;81.75;82.7;82.8;81.5;815'602
04.08.16;81.5;81.45;81.95;81.1;957'163
03.08.16;81.45;81.2;81.9;80.8;659'438
02.08.16;81.35;81.45;81.8;80.5;1'406'108
29.07.16;82;81.35;82.2;80.95;1'261'300
28.07.16;83.4;82.25;84.2;82.25;1'021'243
27.07.16;82.85;83.9;84.5;82.85;854'290
26.07.16;82.65;82.8;82.9;82.05;769'885
25.07.16;82.4;82.55;83.05;81.95;820'415
22.07.16;82.6;82.6;82.9;82.3;898'531
21.07.16;84.1;83.15;84.1;82.7;1'183'613
20.07.16;83.4;83.7;84.05;82.95;875'740
19.07.16;83.5;83.25;83.95;82.85;696'515
18.07.16;83.4;83.9;84.35;83.25;717'818
15.07.16;84.15;83.3;84.45;82.95;1'044'394
14.07.16;84.1;84.1;84.45;83.5;1'153'697
13.07.16;83.85;84.15;84.35;83.6;844'981
12.07.16;82.7;84.25;84.75;82.7;1'136'348
11.07.16;82.55;82.8;83;81.7;986'527
08.07.16;80.3;81.6;81.65;80.2;1'201'076
07.07.16;80.75;80.6;81.75;80.5;1'296'231
06.07.16;82.35;80.55;82.6;80.1;1'309'979
05.07.16;83.95;82.6;84.15;82.25;1'154'060
04.07.16;85.9;84.65;85.9;84.3;662'048
