Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
27.10.2016;400.4;393.8;400.4;393.7;297'375
26.10.2016;402.2;399.5;404;399.1;299'974
25.10.2016;400;403;406.2;400;464'312
24.10.2016;422;397.5;423;383.5;1'405'138
21.10.2016;425;422;427;421.1;279'778
20.10.2016;421.6;424.9;425.7;419;219'175
19.10.2016;415;421.4;422.4;414;236'437
18.10.2016;412.2;417;417.1;407.4;281'237
17.10.2016;413.8;410;416.5;410;272'507
14.10.2016;415;411.7;417.9;411.1;808'184
13.10.2016;422.2;420.5;427.4;420.5;281'192
12.10.2016;420;424.7;428;416;402'199
11.10.2016;425.6;420.2;425.8;420.2;337'273
10.10.2016;424.2;424.3;425.7;420.5;422'883
07.10.2016;430;428.9;431.2;428.3;205'459
06.10.2016;429;430;430.7;428.5;160'778
05.10.2016;429.1;430;430;428.5;136'034
04.10.2016;428.1;430.8;430.8;427.3;210'662
03.10.2016;424.3;427.7;428.4;424.3;127'701
30.09.2016;422.8;425;425.9;421.4;274'743
29.09.2016;430;423.1;431.9;423.1;224'631
28.09.2016;425.6;428.1;428.9;425.5;214'634
27.09.2016;427;425.6;427.5;424.9;173'674
26.09.2016;426.1;425.3;427.5;424.6;141'483
23.09.2016;424.5;428.8;428.9;424;160'849
22.09.2016;424.8;425.2;425.9;422.3;198'665
21.09.2016;427.1;425.1;427.3;424;236'703
20.09.2016;427.4;425.5;428.2;425.5;196'647
19.09.2016;427.9;428;428.4;427;172'720
16.09.2016;428;427.2;428.2;426.6;618'912
15.09.2016;427.2;428;429.8;426.6;201'059
14.09.2016;430.3;427.5;431.2;426.9;211'409
13.09.2016;430;428.5;430.7;428.5;153'909
12.09.2016;429.1;430.2;431.5;429.1;179'510
09.09.2016;431.1;432;433;430.8;167'716
08.09.2016;429;431.8;431.8;429;207'830
07.09.2016;429.6;430.3;430.9;427.8;221'590
06.09.2016;431.2;429.6;432.8;428.9;242'184
05.09.2016;431.2;432.7;433.3;431.1;153'860
02.09.2016;430.2;432.7;432.7;429.7;187'133
01.09.2016;429;429.2;432.4;428.5;243'459
31.08.2016;427.4;428.3;428.7;425.7;218'341
30.08.2016;424.5;428.1;428.1;423.4;184'052
29.08.2016;420.8;424.5;424.8;419.6;159'121
26.08.2016;420.5;421.1;421.8;420;227'004
