Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;13.61;13.7;13.72;13.52;9'971'625
25.10.16;13.8;13.69;13.87;13.64;10'792'692
24.10.16;13.59;13.72;13.82;13.59;10'615'392
21.10.16;13.55;13.55;13.6;13.46;9'498'215
20.10.16;13.57;13.5;13.59;13.32;13'057'272
19.10.16;13.32;13.49;13.56;13.25;11'691'543
18.10.16;13.25;13.33;13.38;13.24;12'464'334
17.10.16;13.21;13.15;13.33;13.1;10'936'331
14.10.16;13.19;13.28;13.45;13.15;10'409'801
13.10.16;13.44;13.11;13.45;13.06;12'579'614
12.10.16;13.59;13.57;13.65;13.53;10'259'086
11.10.16;13.64;13.61;13.73;13.6;9'292'757
10.10.16;13.51;13.63;13.68;13.33;9'544'048
07.10.16;13.7;13.62;13.79;13.52;10'146'020
06.10.16;13.8;13.71;13.95;13.63;9'718'642
05.10.16;13.55;13.74;13.78;13.48;11'817'167
04.10.16;13.26;13.49;13.53;13.21;14'490'255
03.10.16;13.18;13.25;13.38;13.09;8'530'277
30.09.16;12.72;13.23;13.26;12.44;22'777'595
29.09.16;13.19;13.03;13.23;12.95;10'863'770
28.09.16;13.02;13.04;13.21;13.01;8'811'868
27.09.16;13.11;12.93;13.26;12.79;14'067'842
26.09.16;13.34;13.06;13.34;12.95;15'244'293
23.09.16;13.56;13.44;13.58;13.38;6'984'187
22.09.16;13.51;13.48;13.62;13.42;10'349'267
21.09.16;13.59;13.38;13.61;13.33;9'555'486
20.09.16;13.31;13.27;13.46;13.16;10'151'649
19.09.16;13.57;13.48;13.6;13.42;7'606'584
16.09.16;13.65;13.47;13.69;13.39;24'784'258
15.09.16;13.77;13.82;13.93;13.68;8'213'249
14.09.16;14.01;13.81;14.03;13.74;11'888'342
13.09.16;14.23;14;14.3;14;11'332'340
12.09.16;14.18;14.13;14.24;14;10'596'825
09.09.16;14.3;14.47;14.53;14.25;16'272'851
08.09.16;14.11;14.24;14.26;13.97;11'303'209
07.09.16;14.07;14.15;14.2;13.89;12'722'562
06.09.16;14.32;14.14;14.39;14.1;8'835'928
05.09.16;14.41;14.34;14.46;14.27;8'259'426
02.09.16;14.24;14.42;14.42;14.04;13'242'181
01.09.16;14.22;14.12;14.52;14.03;13'130'609
31.08.16;13.97;14.22;14.33;13.96;12'532'418
30.08.16;13.8;13.98;14.04;13.76;7'802'140
29.08.16;13.71;13.77;13.85;13.64;4'767'906
26.08.16;13.68;13.77;13.8;13.59;6'758'753
25.08.16;13.6;13.66;13.7;13.5;7'368'407
24.08.16;13.29;13.7;13.8;13.24;14'482'763
23.08.16;12.98;13.32;13.39;12.95;9'614'754
22.08.16;12.88;12.9;13.03;12.83;6'140'902
19.08.16;13.14;12.88;13.15;12.82;9'806'088
18.08.16;13.2;13.08;13.23;12.97;6'855'849
17.08.16;13.3;13.11;13.36;13.04;6'979'250
16.08.16;13.34;13.29;13.4;13.2;8'878'096
15.08.16;13.52;13.47;13.57;13.4;5'554'306
12.08.16;13.4;13.53;13.57;13.4;5'434'004
11.08.16;13.35;13.45;13.45;13.26;7'328'382
10.08.16;13.31;13.41;13.47;13.31;5'773'397
09.08.16;13.39;13.43;13.46;13.28;6'900'600
08.08.16;13.35;13.37;13.53;13.33;8'202'306
05.08.16;12.87;13.19;13.24;12.83;9'944'404
04.08.16;12.76;12.82;12.98;12.75;8'126'939
03.08.16;12.6;12.63;12.71;12.48;11'332'333
02.08.16;13.05;12.55;13.09;12.44;22'360'212
29.07.16;13.32;13.35;13.78;13.27;13'886'249
28.07.16;13.65;13.29;13.68;13.26;14'022'318
27.07.16;13.47;13.57;13.72;13.44;12'386'403
26.07.16;13.24;13.38;13.48;13.09;10'485'882
25.07.16;13.17;13.29;13.47;13.11;11'083'080
22.07.16;13.05;13.16;13.26;13.04;10'264'220
21.07.16;13.1;13.13;13.25;13.03;7'952'575
20.07.16;12.95;13.12;13.14;12.86;9'576'596
19.07.16;12.89;12.88;12.98;12.72;9'881'020
