Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;259.4;259.6;260.3;258;419'266
25.10.16;259.3;259.4;260.7;258.7;432'172
24.10.16;257.1;258.8;259.8;257.1;504'528
21.10.16;257.1;257.4;257.6;254.1;507'244
20.10.16;256.5;256.5;258.1;255.9;456'529
19.10.16;255;256.2;256.9;254;372'388
18.10.16;253.5;256;256;252.6;464'663
17.10.16;253.4;251.8;255;251.8;407'903
14.10.16;250;254;254.6;250;544'605
13.10.16;253.2;249.5;253.9;248.3;664'623
12.10.16;256;254.6;256.5;254.3;374'477
11.10.16;257.5;255.9;258.9;255.5;420'494
10.10.16;256;258.4;258.8;254;392'015
07.10.16;254.1;256.3;257.9;253.5;648'722
06.10.16;255.8;254.6;257.5;253.3;473'836
05.10.16;252;255.7;257.2;251.2;595'958
04.10.16;250.1;254.4;254.7;250.1;579'756
03.10.16;250.9;250.6;251.9;249.6;486'196
30.09.16;247.4;250;250.2;243.6;621'450
29.09.16;253.7;250.6;254.5;249.8;416'587
28.09.16;249.1;252;252.8;249.1;518'872
27.09.16;252.8;248.8;253;246.9;547'263
26.09.16;255;251.9;255;250.8;426'205
23.09.16;256.4;256.3;256.7;254.6;390'505
22.09.16;254.2;256.3;256.9;253.5;449'396
21.09.16;253.4;252.5;254.4;251.7;481'639
20.09.16;251.5;252.2;253.2;251.2;476'090
19.09.16;253.3;253;254.9;252.3;480'557
16.09.16;255.5;252;255.9;251.8;903'980
15.09.16;252.6;255.8;255.8;252.3;555'517
14.09.16;256.1;253.3;256.5;252.9;713'489
13.09.16;257.3;255.1;258.6;255.1;610'950
12.09.16;254.1;256.4;257;252.7;644'805
09.09.16;256.1;258;258.9;255.8;590'482
08.09.16;256.6;257;258.7;254.6;620'893
07.09.16;256.2;257.2;257.6;254.6;472'179
06.09.16;256.1;255.8;257.8;255.2;456'399
05.09.16;254;255.6;256.1;253.9;444'494
02.09.16;250.5;254.2;254.2;249.7;490'550
01.09.16;252;249.7;252.6;249.3;629'722
31.08.16;249.3;251.4;253.8;249;644'075
30.08.16;245.8;249.7;250.5;245.1;493'713
29.08.16;245;245.2;246.6;243.5;227'751
26.08.16;245;245.5;246.2;243.8;468'995
25.08.16;246.4;245.5;246.5;243.7;387'695
