"date";"start";"end";"dayMin";"dayMax";"revenue";"firm"
2016-10-26;21.99;22;22.07;21.89;4645047;"ABBN"
2016-10-25;22.17;22;22.21;21.99;4566080;"ABBN"
2016-10-24;22.29;22.13;22.41;22.07;3811435;"ABBN"
2016-10-21;22.24;22.18;22.28;22.1;3676996;"ABBN"
2016-10-20;22.28;22.19;22.28;22.08;3728684;"ABBN"
2016-10-19;22.14;22.21;22.28;22.02;4032553;"ABBN"
2016-10-18;22.21;22.2;22.27;22.05;3750306;"ABBN"
2016-10-17;22.11;22.09;22.23;22.06;3638148;"ABBN"
2016-10-14;22;22.16;22.25;22;3753425;"ABBN"
2016-10-13;22.06;21.91;22.12;21.81;5157985;"ABBN"
2016-10-12;22.18;22.13;22.28;22.09;3997703;"ABBN"
2016-10-11;22.42;22.19;22.52;22.19;5337607;"ABBN"
2016-10-10;22.3;22.49;22.5;22.24;4768441;"ABBN"
2016-10-07;22.35;22.31;22.48;22.23;5526692;"ABBN"
2016-10-06;22.33;22.38;22.46;22.22;5112492;"ABBN"
2016-10-05;22.19;22.19;22.25;21.99;5849994;"ABBN"
2016-10-04;21.95;22.28;22.34;21.85;8194824;"ABBN"
2016-10-03;21.89;21.98;22.09;21.87;5159642;"ABBN"
2016-09-30;21.57;21.81;21.86;21.48;7186951;"ABBN"
2016-09-29;22.1;21.79;22.15;21.74;4609290;"ABBN"
2016-09-28;21.9;21.88;22.04;21.83;4326134;"ABBN"
2016-09-27;21.99;21.77;22.2;21.67;5749285;"ABBN"
2016-09-26;21.98;21.87;21.98;21.83;4732474;"ABBN"
2016-09-23;22.18;22.12;22.18;22.07;4976466;"ABBN"
2016-09-22;21.95;22.1;22.16;21.94;4770878;"ABBN"
2016-09-21;21.91;21.83;21.96;21.72;5906848;"ABBN"
2016-09-20;21.6;21.75;21.91;21.52;4152796;"ABBN"
2016-09-19;21.56;21.65;21.7;21.54;3872605;"ABBN"
2016-09-16;21.71;21.48;21.74;21.34;19413562;"ABBN"
2016-09-15;21.48;21.66;21.67;21.45;5607403;"ABBN"
2016-09-14;21.92;21.59;22.02;21.57;7743074;"ABBN"
2016-09-13;21.74;21.72;21.93;21.64;6303292;"ABBN"
2016-09-12;21.51;21.61;21.61;21.36;6094809;"ABBN"
2016-09-09;22.02;21.87;22.17;21.84;6460798;"ABBN"
2016-09-08;21.94;22.05;22.1;21.83;5934882;"ABBN"
2016-09-07;21.97;21.97;22.11;21.88;6983452;"ABBN"
2016-09-06;21.9;21.93;22;21.87;5503429;"ABBN"
2016-09-05;21.79;21.83;21.9;21.79;2413731;"ABBN"
2016-09-02;21.52;21.8;21.8;21.46;6086601;"ABBN"
2016-09-01;21.32;21.24;21.44;21.18;3614616;"ABBN"
2016-08-31;21.4;21.31;21.51;21.29;3587291;"ABBN"
2016-08-30;21.46;21.41;21.59;21.4;3326112;"ABBN"
2016-08-29;21.38;21.44;21.54;21.31;1901062;"ABBN"
2016-08-26;21.31;21.44;21.48;21.22;2660242;"ABBN"
2016-08-25;21.21;21.3;21.36;21.13;2724698;"ABBN"
2016-08-24;21.18;21.34;21.35;21.12;2501357;"ABBN"
2016-08-23;21.19;21.29;21.37;21.18;2641595;"ABBN"
