"IndustryGroup";"IndustryName";"NumberofFirms";"Beta";"ROE";"CostofEquity";"(ROE-COE)";"BVofEquity";"EquityEVA";"ROC";"CostofCapital";"(ROC-WACC)";"BVofCapital";"EVA";"E/(D+E)";"StdDevinStock";"CostofDebt";"TaxRate";"After-taxCostofDebt";"D/(D+E)"
"";"Advertising";73;0.87;11.65;"8.53%";"3.12%";"$29'977.56";"$934.94";"41.60%";"7.15%";"34.46%";"$12'388.07";"$4'268.37";"74.05%";47.07;"4.38%";"20.80%";"3.21%";"25.95%"
"";"Aerospace/Defense";38;1.12;6.93;"10.31%";"-3.38%";"$71'106.18";"$(2'403.67)";"11.84%";"8.81%";"3.03%";"$100'261.99";"$3'036.56";"78.90%";39.57;"4.38%";"17.64%";"3.21%";"21.10%"
"Transport";"Air Transport";37;0.98;24.04;"9.28%";"14.76%";"$37'848.41";"$5'585.44";"10.25%";"6.75%";"3.50%";"$101'265.41";"$3'543.78";"58.37%";44.22;"4.38%";"18.66%";"3.21%";"41.63%"
"";"Apparel";142;0.97;14.19;"9.25%";"4.94%";"$135'418.78";"$6'691.11";"16.70%";"8.12%";"8.58%";"$161'768.64";"$13'883.92";"81.27%";47.8;"4.38%";"19.68%";"3.21%";"18.73%"
"Transport";"Auto & Truck";21;1.54;12.87;"13.33%";"-0.47%";"$191'705.98";"$(893.99)";"5.96%";"7.94%";"-1.98%";"$501'220.83";"$(9'941.85)";"46.74%";46.62;"4.38%";"12.40%";"3.21%";"53.26%"
"Transport";"Auto Parts";56;1.74;19.69;"14.75%";"4.94%";"$40'198.95";"$1'985.46";"15.03%";"12.57%";"2.46%";"$72'871.67";"$1'795.62";"81.12%";49.19;"4.38%";"18.69%";"3.21%";"18.88%"
"Finance";"Bank (Money Center)";127;1.57;4.14;"13.48%";"-9.34%";"$1'717'951.06";"$(160'416.69)";"0.00%";"4.56%";"-4.56%";"$9'870'969.90";"$(450'307.14)";"13.18%";42.06;"4.38%";"17.04%";"3.21%";"86.82%"
"Finance";"Banks (Regional)";64;0.68;5.15;"7.15%";"-1.99%";"$69'541.70";"$(1'386.34)";"0.00%";"4.20%";"-4.19%";"$165'864.17";"$(6'956.52)";"25.19%";33.23;"4.38%";"15.81%";"3.21%";"74.81%"
"FoodDrinks";"Beverage (Alcoholic)";51;0.68;12.63;"7.16%";"5.46%";"$154'020.34";"$8'413.17";"10.52%";"6.33%";"4.19%";"$268'696.17";"$11'246.80";"79.03%";41.41;"4.38%";"15.27%";"3.21%";"20.97%"
"FoodDrinks";"Beverage (Soft)";18;0.7;10.25;"7.29%";"2.95%";"$6'670.62";"$196.97";"9.89%";"6.33%";"3.56%";"$11'062.91";"$394.22";"76.45%";38.32;"4.38%";"23.83%";"3.21%";"23.55%"
"";"Broadcasting";29;1.07;18.49;"9.96%";"8.53%";"$15'521.76";"$1'324.02";"25.49%";"9.06%";"16.43%";"$15'106.67";"$2'481.45";"86.72%";46.03;"4.38%";"13.82%";"3.21%";"13.28%"
"Finance";"Brokerage & Investment Banking";72;0.74;8.05;"7.56%";"0.49%";"$17'516.94";"$85.93";"0.33%";"5.08%";"-4.75%";"$53'721.55";"$(2'551.80)";"37.92%";55.46;"4.88%";"7.07%";"3.57%";"62.08%"
"Raw Materials";"Building Materials";86;0.96;6.72;"9.13%";"-2.41%";"$49'604.10";"$(1'197.91)";"11.73%";"7.75%";"3.97%";"$55'372.68";"$2'199.34";"76.73%";45.83;"4.38%";"20.51%";"3.21%";"23.27%"
"";"Business & Consumer Services";229;0.87;13.82;"8.53%";"5.29%";"$52'603.64";"$2'781.28";"26.25%";"7.24%";"19.01%";"$54'753.01";"$10'408.91";"75.80%";45.89;"4.38%";"10.90%";"3.21%";"24.20%"
"Leisure";"Cable TV";12;1.2;24.87;"10.84%";"14.02%";"$16'599.60";"$2'327.95";"9.80%";"7.89%";"1.91%";"$89'932.41";"$1'717.02";"61.38%";35.11;"4.38%";"18.87%";"3.21%";"38.62%"
"Raw Materials";"Chemical (Basic)";59;1.06;24.61;"9.89%";"14.72%";"$23'587.52";"$3'472.88";"19.52%";"8.44%";"11.08%";"$35'244.43";"$3'904.06";"78.42%";44.48;"4.38%";"15.63%";"3.21%";"21.58%"
"Raw Materials";"Chemical (Diversified)";7;2.09;13.58;"17.27%";"-3.69%";"$50'606.10";"$(1'864.90)";"9.39%";"13.93%";"-4.54%";"$81'350.18";"$(3'693.53)";"76.27%";34.3;"4.38%";"2.36%";"3.21%";"23.73%"
