Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.2016;21.99;22;22.07;21.89;4'645'047
25.10.2016;22.17;22;22.21;21.99;4'566'080
24.10.2016;22.29;22.13;22.41;22.07;3'811'435
21.10.2016;22.24;22.18;22.28;22.1;3'676'996
20.10.2016;22.28;22.19;22.28;22.08;3'728'684
19.10.2016;22.14;22.21;22.28;22.02;4'032'553
18.10.2016;22.21;22.2;22.27;22.05;3'750'306
17.10.2016;22.11;22.09;22.23;22.06;3'638'148
14.10.2016;22;22.16;22.25;22;3'753'425
13.10.2016;22.06;21.91;22.12;21.81;5'157'985
12.10.2016;22.18;22.13;22.28;22.09;3'997'703
11.10.2016;22.42;22.19;22.52;22.19;5'337'607
10.10.2016;22.3;22.49;22.5;22.24;4'768'441
07.10.2016;22.35;22.31;22.48;22.23;5'526'692
06.10.2016;22.33;22.38;22.46;22.22;5'112'492
05.10.2016;22.19;22.19;22.25;21.99;5'849'994
04.10.2016;21.95;22.28;22.34;21.85;8'194'824
03.10.2016;21.89;21.98;22.09;21.87;5'159'642
30.09.2016;21.57;21.81;21.86;21.48;7'186'951
29.09.2016;22.1;21.79;22.15;21.74;4'609'290
28.09.2016;21.9;21.88;22.04;21.83;4'326'134
27.09.2016;21.99;21.77;22.2;21.67;5'749'285
26.09.2016;21.98;21.87;21.98;21.83;4'732'474
23.09.2016;22.18;22.12;22.18;22.07;4'976'466
22.09.2016;21.95;22.1;22.16;21.94;4'770'878
21.09.2016;21.91;21.83;21.96;21.72;5'906'848
20.09.2016;21.6;21.75;21.91;21.52;4'152'796
19.09.2016;21.56;21.65;21.7;21.54;3'872'605
16.09.2016;21.71;21.48;21.74;21.34;19'413'562
15.09.2016;21.48;21.66;21.67;21.45;5'607'403
14.09.2016;21.92;21.59;22.02;21.57;7'743'074
13.09.2016;21.74;21.72;21.93;21.64;6'303'292
12.09.2016;21.51;21.61;21.61;21.36;6'094'809
09.09.2016;22.02;21.87;22.17;21.84;6'460'798
08.09.2016;21.94;22.05;22.1;21.83;5'934'882
07.09.2016;21.97;21.97;22.11;21.88;6'983'452
06.09.2016;21.9;21.93;22;21.87;5'503'429
05.09.2016;21.79;21.83;21.9;21.79;2'413'731
02.09.2016;21.52;21.8;21.8;21.46;6'086'601
01.09.2016;21.32;21.24;21.44;21.18;3'614'616
31.08.2016;21.4;21.31;21.51;21.29;3'587'291
30.08.2016;21.46;21.41;21.59;21.4;3'326'112
29.08.2016;21.38;21.44;21.54;21.31;1'901'062
26.08.2016;21.31;21.44;21.48;21.22;2'660'242
25.08.2016;21.21;21.3;21.36;21.13;2'724'698
24.08.2016;21.18;21.34;21.35;21.12;2'501'357
23.08.2016;21.19;21.29;21.37;21.18;2'641'595
22.08.2016;21.15;21.12;21.42;21.06;3'480'157
19.08.2016;21.32;21.16;21.35;21.02;4'995'221
18.08.2016;21.27;21.41;21.41;21.27;3'907'404
17.08.2016;21.3;21.16;21.38;21.01;3'298'660
16.08.2016;21.4;21.29;21.46;21.25;3'921'611
15.08.2016;21.55;21.55;21.6;21.49;2'448'713
12.08.2016;21.47;21.58;21.58;21.43;3'953'781
11.08.2016;21.44;21.47;21.49;21.34;3'386'977
10.08.2016;21.12;21.41;21.47;21.12;4'641'523
09.08.2016;21.03;21.25;21.3;21.02;3'951'302
08.08.2016;20.94;21.05;21.07;20.88;4'476'484
05.08.2016;20.65;20.9;20.91;20.65;4'361'464
04.08.2016;20.5;20.71;20.71;20.48;4'467'365
03.08.2016;20.39;20.38;20.46;20.27;3'777'094
02.08.2016;20.6;20.39;20.66;20.33;7'026'396
29.07.2016;20.67;20.6;20.77;20.58;5'989'038
28.07.2016;20.62;20.63;20.82;20.62;7'112'598
27.07.2016;20.8;20.71;20.92;20.68;5'544'547
26.07.2016;20.55;20.75;20.77;20.51;5'829'300
25.07.2016;20.55;20.57;20.78;20.49;5'290'038
22.07.2016;20.4;20.58;20.79;20.4;6'970'003
21.07.2016;20.31;20.52;20.66;20.28;10'203'748
20.07.2016;19.95;20.07;20.14;19.87;5'994'414
19.07.2016;19.6;19.89;19.89;19.48;5'966'500
18.07.2016;19.69;19.65;19.81;19.58;4'563'909
15.07.2016;19.48;19.66;19.66;19.38;5'466'435
14.07.2016;19.35;19.61;19.7;19.33;5'464'031
13.07.2016;19.23;19.31;19.42;19.19;4'630'971
12.07.2016;19.12;19.23;19.34;19.07;5'244'482
11.07.2016;18.71;19.13;19.15;18.7;6'648'999
08.07.2016;18.22;18.56;18.57;18.17;6'899'624
07.07.2016;18.05;18.22;18.34;18.04;6'052'358
06.07.2016;18.15;17.99;18.26;17.88;5'683'717
05.07.2016;18.44;18.18;18.44;18.08;4'881'946
04.07.2016;18.73;18.47;18.75;18.37;2'953'470
01.07.2016;18.52;18.64;18.69;18.39;5'517'135
30.06.2016;18.29;18.39;18.42;18.14;8'620'240
29.06.2016;18.32;18.32;18.34;18.04;8'622'963
28.06.2016;18.43;18.1;18.47;18.1;8'799'701
27.06.2016;18.58;18.11;18.7;17.99;10'029'740
24.06.2016;18.51;18.85;19.09;18.36;15'572'215
23.06.2016;19.74;19.84;20.02;19.7;4'359'824
22.06.2016;19.68;19.73;19.78;19.48;4'933'512
21.06.2016;19.44;19.61;19.66;19.37;7'400'528
20.06.2016;19.25;19.51;19.51;19.24;9'213'164
17.06.2016;18.91;18.89;19.06;18.84;17'431'672
16.06.2016;18.66;18.69;18.89;18.56;8'523'503
15.06.2016;18.78;18.93;19.06;18.76;7'920'245
14.06.2016;18.79;18.69;18.87;18.64;9'100'855
13.06.2016;19.12;18.97;19.17;18.83;6'864'055
10.06.2016;19.54;19.29;19.54;19.26;7'282'486
09.06.2016;19.79;19.59;19.84;19.49;6'419'589
08.06.2016;19.97;19.86;19.99;19.79;6'033'318
07.06.2016;19.88;20.08;20.1;19.86;6'015'910
06.06.2016;19.77;19.89;19.97;19.71;5'144'700
03.06.2016;19.84;19.69;19.93;19.61;6'039'332
02.06.2016;19.8;19.8;19.94;19.75;6'179'087
01.06.2016;19.81;19.84;19.97;19.69;5'957'761
31.05.2016;20.09;19.89;20.12;19.83;23'414'062
30.05.2016;20.12;20.16;20.19;20.11;3'510'255
27.05.2016;19.95;20.16;20.18;19.92;7'574'248
26.05.2016;19.8;20.01;20.07;19.8;6'781'937
25.05.2016;19.71;19.7;19.82;19.67;5'452'281
24.05.2016;19.48;19.65;19.69;19.41;6'863'866
23.05.2016;19.52;19.65;19.66;19.35;5'936'231
20.05.2016;19.3;19.49;19.53;19.3;7'214'985
19.05.2016;19.26;19.22;19.37;19.19;5'816'953
18.05.2016;19.17;19.43;19.43;19.15;6'013'740
17.05.2016;19.22;19.28;19.43;19.19;6'113'865
13.05.2016;19.16;19.17;19.24;18.94;8'171'818
12.05.2016;19.34;19.3;19.56;19.26;5'269'132
11.05.2016;19.36;19.46;19.51;19.29;4'485'073
10.05.2016;19.17;19.34;19.4;19.14;5'025'760
09.05.2016;19.27;19.12;19.37;19.07;5'465'226
06.05.2016;19.19;19.23;19.3;19.09;4'893'767
04.05.2016;19.32;19.11;19.45;19.11;4'159'626
03.05.2016;19.42;19.36;19.44;19.2;5'923'078
02.05.2016;19.55;19.52;19.67;19.44;3'763'075
29.04.2016;19.44;19.5;19.61;19.37;6'813'854
28.04.2016;19.57;19.69;19.7;19.43;4'929'706
27.04.2016;19.57;19.7;19.75;19.56;8'197'075
26.04.2016;19.44;19.61;19.63;19.44;7'848'364
25.04.2016;19.54;19.38;19.6;19.21;5'615'049
22.04.2016;19.44;19.54;19.56;19.4;5'614'753
21.04.2016;19.56;19.51;19.63;19.25;7'859'031
20.04.2016;19.23;19.5;19.63;19.19;15'344'656
19.04.2016;18.56;18.78;18.84;18.55;6'473'264
18.04.2016;18.31;18.53;18.54;18.21;3'969'855
15.04.2016;18.47;18.53;18.54;18.35;6'817'203
14.04.2016;18.35;18.49;18.55;18.31;4'095'036
13.04.2016;18.22;18.34;18.37;18.19;5'472'197
12.04.2016;17.93;18.15;18.19;17.82;5'500'857
11.04.2016;17.84;17.91;18.06;17.66;5'092'055
08.04.2016;17.65;17.86;17.89;17.58;5'075'476
07.04.2016;17.69;17.52;17.82;17.51;4'597'857
06.04.2016;17.52;17.64;17.68;17.44;5'790'808
05.04.2016;17.76;17.68;17.8;17.48;5'705'382
04.04.2016;17.69;17.99;18.16;17.65;6'267'981
01.04.2016;17.8;17.73;17.82;17.55;5'671'673
31.03.2016;18.13;18.02;18.13;17.93;4'880'261
30.03.2016;17.92;18.17;18.21;17.92;6'301'365
29.03.2016;17.87;17.81;17.92;17.66;5'377'977
24.03.2016;17.89;17.73;17.9;17.65;4'255'006
23.03.2016;18.09;18.04;18.17;17.91;4'589'679
22.03.2016;17.95;18.06;18.06;17.76;5'221'714
21.03.2016;18.02;18.04;18.11;17.89;5'875'004
18.03.2016;18.24;18.13;18.26;18.03;24'698'225
17.03.2016;17.95;18.1;18.21;17.69;10'240'385
16.03.2016;17.65;17.78;17.87;17.59;10'721'468
15.03.2016;17.5;17.41;17.52;17.36;5'892'934
14.03.2016;17.68;17.55;17.77;17.5;4'851'680
11.03.2016;17.4;17.64;17.68;17.39;5'501'546
10.03.2016;17.51;17.26;17.77;17.26;7'655'726
09.03.2016;17.58;17.52;17.68;17.43;4'329'533
08.03.2016;17.57;17.46;17.68;17.43;5'152'050
07.03.2016;17.6;17.72;17.72;17.52;4'448'484
04.03.2016;17.6;17.6;17.68;17.37;5'491'586
03.03.2016;17.61;17.6;17.75;17.49;6'061'267
02.03.2016;17.46;17.45;17.54;17.27;5'460'998
01.03.2016;17.25;17.39;17.42;17.18;5'062'028
29.02.2016;16.98;17.21;17.27;16.87;7'154'458
26.02.2016;17.11;17.11;17.27;17.04;5'254'220
25.02.2016;16.77;16.86;16.94;16.64;6'386'892
24.02.2016;16.9;16.55;16.9;16.41;7'245'645
23.02.2016;17.07;16.9;17.21;16.85;5'882'934
22.02.2016;17.12;17.18;17.3;17.11;5'206'686
19.02.2016;17.06;17.05;17.19;16.93;9'928'125
18.02.2016;17.12;17.15;17.29;16.99;6'620'558
17.02.2016;16.7;17.07;17.15;16.68;7'659'710
16.02.2016;16.57;16.53;16.66;16.41;6'508'949
15.02.2016;16.2;16.45;16.49;16.18;6'294'460
12.02.2016;15.71;15.93;15.95;15.64;8'588'861
11.02.2016;15.86;15.51;15.88;15.36;8'714'525
10.02.2016;16.01;16.01;16.28;15.82;7'817'667
09.02.2016;16.13;15.9;16.34;15.7;10'718'259
08.02.2016;16.99;16.25;17.01;16.18;10'309'642
05.02.2016;16.89;16.93;17.13;16.74;7'548'476
04.02.2016;16.73;16.86;16.97;16.45;8'901'932
03.02.2016;17.21;16.6;17.36;16.35;11'767'884
02.02.2016;16.88;16.68;16.9;16.46;7'482'671
01.02.2016;17.07;16.87;17.07;16.65;4'885'814
29.01.2016;16.72;16.9;16.95;16.61;9'291'759
