Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;58.9;59.05;59.35;58.7;973'380
25.10.16;59.05;58.8;60.1;58.75;1'490'030
24.10.16;58.9;58.65;59.45;58.1;1'232'782
21.10.16;57.1;58.75;58.75;56.9;1'554'025
20.10.16;57.9;57;57.9;56.85;1'184'572
19.10.16;57.9;57.45;58;57.3;1'995'785
18.10.16;55.9;56.15;56.2;55.7;736'371
17.10.16;56;55.6;56.05;55.4;608'699
14.10.16;55.9;56.1;56.45;55.9;743'202
13.10.16;56.65;55.75;56.7;55;1'067'487
12.10.16;56.85;57.05;57.25;56.45;592'849
11.10.16;55.95;56.9;57.6;55.95;954'469
10.10.16;56.05;56.2;56.25;55.3;686'052
07.10.16;56.75;56;56.75;55.55;798'362
06.10.16;56.7;56.65;57.25;56.4;579'286
05.10.16;56.35;56.95;57.15;56.05;803'076
04.10.16;54.8;56.75;57.2;54.7;1'100'926
03.10.16;54.6;54.65;55.15;54.5;701'244
30.09.16;54;54.7;54.7;53.45;1'218'130
29.09.16;55.85;55;56.15;54.9;1'025'334
28.09.16;54.9;55.4;55.95;54.85;772'776
27.09.16;55;54.5;55.15;54.2;840'168
26.09.16;54.8;54.6;55.05;54.55;1'002'571
23.09.16;55.15;54.8;55.2;54.4;673'813
22.09.16;54.5;55.05;55.3;54.35;693'542
21.09.16;54.25;54.05;54.5;53.9;916'889
20.09.16;53.8;53.85;54.1;53.4;655'943
19.09.16;53.9;54.05;54.3;53.7;472'316
16.09.16;54.2;53.65;54.35;53.35;1'466'150
15.09.16;54.1;54.3;54.6;53.7;781'108
14.09.16;54.85;54.35;54.9;54.05;725'344
13.09.16;55.8;54.75;56.1;54.55;931'464
12.09.16;56.25;55.5;56.4;54.95;1'009'488
09.09.16;57.6;57.15;58.25;57.1;870'330
08.09.16;57.65;57.8;58.1;57.2;769'415
07.09.16;57.4;57.5;57.55;56.75;646'151
06.09.16;57.2;57.15;57.55;57.05;559'447
05.09.16;56.75;57.1;57.2;56.5;481'450
02.09.16;56.05;56.6;56.6;55.7;677'736
01.09.16;56.95;55.9;57.4;55.85;853'465
31.08.16;57;56.6;57.45;56.35;767'917
30.08.16;56.1;57;57.3;56.1;702'169
29.08.16;55.85;56.15;56.4;55.75;326'348
26.08.16;56;56.2;56.5;55.45;662'027
25.08.16;56.35;56.3;56.65;56;696'300
24.08.16;56.3;56.55;56.8;56.15;454'088
23.08.16;55.95;56.65;56.8;55.7;707'169
22.08.16;55.15;55.5;56.1;54.95;634'606
19.08.16;55.85;55.05;55.9;54.85;719'409
18.08.16;55.15;55.8;55.95;55.05;607'898
17.08.16;55.75;55.05;55.85;54.75;461'066
16.08.16;55.95;55.65;56.3;55.45;716'031
15.08.16;56.55;56.05;56.55;55.9;425'162
12.08.16;56;56.4;56.9;55.9;634'076
11.08.16;56.65;55.9;56.65;55.35;859'448
10.08.16;55;56.05;56.4;54.3;913'521
09.08.16;53.7;54.7;54.8;53.5;823'183
08.08.16;53.9;53.85;54.5;53.65;570'213
05.08.16;52.75;53.6;53.8;52.75;802'823
04.08.16;52.5;52.9;53.35;52.35;888'404
03.08.16;52.05;52.1;52.2;51.5;782'576
02.08.16;52.85;51.95;53;51.8;1'313'763
29.07.16;52.9;53.2;53.55;52.65;795'697
28.07.16;53.35;52.7;53.95;52.5;1'309'133
27.07.16;53.6;53.35;54.25;53.3;943'858
26.07.16;53.65;53.4;53.7;52.45;947'598
25.07.16;53;53.6;53.75;52.85;687'241
22.07.16;53.5;53.1;53.55;52.85;732'336
21.07.16;53.2;53.4;53.6;52.55;906'449
20.07.16;53.15;53.25;53.45;52.4;924'871
19.07.16;53.2;52.65;53.6;52.4;993'948
18.07.16;53.45;53.55;54.2;52.85;902'999
15.07.16;53.15;53.1;53.45;52.55;889'270
14.07.16;53;53.35;53.9;52.3;1'379'527
13.07.16;52.25;52.8;53.6;52;1'898'820
12.07.16;49.73;51.95;52.15;49.46;1'865'046
11.07.16;49.57;49.9;50;48.72;1'281'779
08.07.16;47.26;49.13;49.23;47.07;1'451'640
07.07.16;46.9;47.25;47.77;46.83;1'935'641
06.07.16;46.49;46.4;46.54;45.01;1'996'021
05.07.16;47.8;46.67;47.82;46.43;2'412'014
04.07.16;50;48.6;50;48.24;1'062'417
01.07.16;49.22;49.61;50.05;48.64;1'541'802
30.06.16;48.5;48.89;49.32;47.66;1'928'106
29.06.16;48.48;49.09;49.09;47.89;1'617'337
28.06.16;48.64;47.5;48.71;47.5;2'446'149
27.06.16;52.25;47.45;52.35;47.03;3'537'279
24.06.16;53.7;52.9;54.85;52.7;4'058'063
23.06.16;58.45;59.55;59.85;58.35;1'162'687
22.06.16;58;58.5;58.6;57.75;671'774
21.06.16;57.5;57.85;57.95;57.25;821'044
20.06.16;56.7;57.65;57.85;56.6;865'912
17.06.16;55.5;55.7;56.2;55.5;1'712'207
16.06.16;55;55;55.05;54.3;1'244'752
15.06.16;55.85;55.45;56.45;55.4;881'350
14.06.16;56.2;55.4;56.35;55.4;842'179
13.06.16;57.7;56.75;57.7;56.35;701'184
10.06.16;59.3;58;59.3;57.95;1'170'232
09.06.16;59.65;59.6;59.75;58.9;663'350
08.06.16;60.4;59.7;60.5;59.6;598'167
07.06.16;60.35;60.5;60.9;60.3;656'180
06.06.16;59.9;60.25;60.5;59.55;563'746
03.06.16;60.55;59.8;61.1;59.7;719'035
02.06.16;60.2;60.4;60.75;60.15;583'650
01.06.16;60.15;60.15;60.35;59.8;697'307
31.05.16;60.5;60.25;60.6;59.8;1'083'745
30.05.16;60.3;60.15;60.5;60.15;328'302
27.05.16;60.55;60.2;60.75;60.15;688'621
26.05.16;60.6;60.5;60.9;60.4;730'997
25.05.16;60.5;60.45;60.85;60.3;1'016'560
24.05.16;59.05;60.15;60.3;58.85;789'205
23.05.16;59.6;59.35;59.8;58.85;945'859
20.05.16;59.1;58.9;59.4;58.75;1'061'415
19.05.16;58.3;58.65;59;58.2;870'888
18.05.16;58.1;58.6;58.65;57.85;675'238
17.05.16;58.5;58.3;59.25;58.05;976'794
13.05.16;57.95;58.45;58.5;57.4;1'052'172
12.05.16;58.85;58.05;59.2;58.05;873'819
11.05.16;58.65;58.9;59.15;57.65;1'399'654
10.05.16;60.5;58.75;60.7;58.05;2'349'211
09.05.16;61.1;61.85;62.5;61;1'031'380
06.05.16;61.15;60.8;61.25;60.45;1'119'922
04.05.16;61.45;61.1;62.1;61.05;664'543
03.05.16;61.8;61.3;61.8;60.65;740'856
02.05.16;62;61.8;62.05;61.35;415'403
29.04.16;62;61.75;62.65;61.45;1'042'798
28.04.16;63.45;64.45;64.6;62.85;844'028
27.04.16;63.9;63.8;64.05;63.1;483'756
26.04.16;64;63.6;64.15;63.15;722'904
25.04.16;64.55;63.75;64.9;63.35;813'729
