Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;422;420.8;422.3;418.8;88'313
25.10.16;425.4;422;425.8;422;69'943
24.10.16;428.9;423.9;430.4;423.2;87'470
21.10.16;427.6;427.3;428.8;425.9;104'795
20.10.16;428.6;426.5;429.5;425.1;107'868
19.10.16;427.9;428.6;430.5;426.1;99'218
18.10.16;425.5;427;428.8;425.5;97'728
17.10.16;424.2;423.9;425.5;422.8;80'656
14.10.16;421.4;425.6;427.2;421.4;74'397
13.10.16;419.1;421.9;422.7;418.7;93'698
12.10.16;424.7;420.9;424.8;420.6;73'304
11.10.16;425.6;423.9;428;423.4;87'007
10.10.16;422.7;425.4;426.4;422.3;66'427
07.10.16;428.1;423;428.1;422.7;79'894
06.10.16;428;426.9;430;426;66'351
05.10.16;428;427.6;428.5;425.6;73'132
04.10.16;429.9;430.7;432.4;428.7;92'116
03.10.16;424.7;428.3;430.3;424.1;90'626
30.09.16;420;425.4;425.6;417.9;102'411
29.09.16;429.8;422.8;431.5;421.4;88'070
28.09.16;425;426.3;427.9;424.1;63'420
27.09.16;425.8;424.3;425.8;420.6;72'564
26.09.16;425;422.9;425;421.8;74'306
23.09.16;428.3;426.9;428.6;425.8;63'907
22.09.16;424;427.9;430.5;424;86'309
21.09.16;424.5;422.1;424.7;420.5;79'589
20.09.16;422.3;423.9;424.5;420.9;69'988
19.09.16;421.3;422.2;423;420.2;59'566
16.09.16;422.8;419.7;423.7;417.6;222'762
15.09.16;418.7;421.8;421.8;417.1;68'353
14.09.16;420;419;420.7;418;71'336
13.09.16;420;417.1;422.2;417.1;120'971
12.09.16;416.2;419.4;420.1;413.4;143'564
09.09.16;430;419.9;430;416;183'017
08.09.16;431.7;431;434;427.9;126'443
07.09.16;430.1;431.8;431.8;428.3;104'080
06.09.16;430.2;429.4;431;428;82'405
05.09.16;427.1;430.1;430.5;426.4;87'090
02.09.16;425.7;427.3;427.3;423.1;142'527
01.09.16;430;424.7;431.4;423.8;117'490
31.08.16;429;429;431;427.5;102'592
30.08.16;429.5;430.2;432.4;427.9;91'565
29.08.16;431.1;429.7;434.1;427.7;69'684
26.08.16;427.3;433.1;433.1;427.3;82'467
25.08.16;428.8;428.7;430.8;427.3;75'998
24.08.16;426.6;430.4;430.6;425.6;80'830
23.08.16;427;428.2;430.4;426.5;84'194
22.08.16;425;426.2;428.3;422.7;78'924
19.08.16;426.5;425.7;426.6;420;127'067
18.08.16;423;424.3;428.2;422.5;138'476
17.08.16;420;419.4;422.7;418.8;171'985
16.08.16;412;420.2;424.4;411.5;302'576
15.08.16;400;401.7;402.4;399.4;65'835
12.08.16;399.8;400.6;402.3;399.3;78'284
11.08.16;395;400.9;400.9;394.1;119'061
10.08.16;391.7;393.1;394.4;390.3;89'068
09.08.16;387.3;390.9;391.7;387.3;81'936
08.08.16;386.8;387.9;388.8;386.4;76'868
05.08.16;379.4;384.9;386.1;379.2;111'945
04.08.16;374.6;379.8;380.5;373.5;98'542
03.08.16;374.1;371.7;374.1;370.5;69'766
02.08.16;374.7;372.5;375;371.2;91'557
29.07.16;374.5;374;375.2;371.6;83'489
28.07.16;378;373.7;380.8;373.7;88'242
27.07.16;377.6;378.3;381.7;377.5;92'068
26.07.16;373.9;377.4;377.4;371;72'506
25.07.16;372;373.3;374.5;370.2;64'094
22.07.16;373.6;372.8;374.7;371.2;45'973
21.07.16;376.6;374.3;376.7;372.3;80'181
20.07.16;375;375.9;377.9;373.3;73'302
19.07.16;371.5;374.2;375;371;83'547
18.07.16;371.9;372.2;374.7;370.7;75'702
15.07.16;371;371.4;371.7;369.3;75'270
14.07.16;373;370.6;373.4;368.3;79'204
13.07.16;369;370.9;371.1;367.6;83'404
12.07.16;371.8;369.5;372.7;368.1;99'443
11.07.16;366.6;372.3;372.4;365.6;109'015
08.07.16;359;364.6;364.6;359;102'255
07.07.16;359.5;360.3;362.9;358.9;102'742
06.07.16;355.9;356.1;358.9;354.5;110'553
05.07.16;363;357.8;363.6;357.6;136'506
04.07.16;371.3;365.1;373;365.1;81'250
01.07.16;370;371;374.2;368.5;107'748
30.06.16;368.5;368;369.6;365.8;162'033
29.06.16;363.8;368.8;369.6;359.6;128'995
28.06.16;355.1;359.1;360.8;353.4;158'016
27.06.16;366.8;351.2;367.3;350.5;233'588
24.06.16;361.5;367.5;375.5;359.9;297'567
23.06.16;372.5;378.3;380.1;372.5;155'704
22.06.16;373.4;372.5;373.4;370.2;97'060
21.06.16;372.7;371;372.7;368.9;111'178
20.06.16;364.2;372.7;373.8;363.8;178'999
17.06.16;359.9;359;364.8;358.9;437'223
16.06.16;358.5;359.2;361.2;357.6;157'580
15.06.16;361;362.4;365.8;361;132'464
14.06.16;361;360;361.7;359.1;161'539
13.06.16;369.1;363.5;369.6;363.5;117'814
10.06.16;377;370.6;377;369.9;136'593
09.06.16;380.5;377.5;381.5;376.9;103'691
08.06.16;382.1;381.4;383.9;380.7;70'020
07.06.16;382;383.1;383.8;381.8;64'571
06.06.16;380.8;381.3;382.5;379.5;51'390
03.06.16;381;379.9;383.4;378.6;99'588
02.06.16;381.4;381;382;378.8;97'981
01.06.16;379.2;382.6;382.8;378.8;95'775
31.05.16;381.3;380;381.8;378.3;121'159
30.05.16;380;380.9;382.1;380;36'998
27.05.16;382.4;379.8;382.6;379.2;96'752
26.05.16;377.5;382;382.7;377.1;76'625
25.05.16;382.5;377.9;382.5;377.7;71'837
24.05.16;376;380.5;381.1;375.4;115'639
23.05.16;377.1;377.5;379.1;374.6;75'716
20.05.16;373;377.2;377.7;372.8;119'064
19.05.16;369.9;371.7;372.6;369.5;76'022
18.05.16;368.5;372.1;372.1;368.5;104'402
17.05.16;371.5;370.4;373.6;369.7;106'576
13.05.16;367.3;369.9;371;365.2;82'729
12.05.16;368.6;369.4;372.2;366.7;95'946
11.05.16;367.9;368.4;368.8;366.2;89'611
10.05.16;365.8;367.4;368.1;364.3;101'283
09.05.16;363.9;364.6;366.5;363.9;108'621
06.05.16;364.6;363.8;367.5;362.5;113'128
04.05.16;366.6;364.2;369.6;364.2;113'122
03.05.16;370.3;366.8;370.9;365.7;133'402
02.05.16;369.5;370.9;371.9;368.3;91'213
29.04.16;368.9;368.3;371.1;366.7;185'384
28.04.16;359;372.5;374.3;359;284'395
27.04.16;353.2;354.4;354.7;348.7;136'051
26.04.16;354.2;351.9;354.7;351.3;107'468
25.04.16;355.7;352.1;355.7;350.2;136'854
22.04.16;355.2;354.8;358.2;353.2;108'047
21.04.16;358.5;354.9;358.5;351.7;112'754
20.04.16;357.9;357.6;359.1;355.3;126'611
19.04.16;358.6;360.1;361.6;357.7;89'258
18.04.16;354.5;357.6;357.6;353.1;96'036
15.04.16;357;357.1;357.8;353.8;171'890
14.04.16;358;358.2;360.9;356.6;85'607
13.04.16;358.6;357.6;358.9;353.7;112'481
12.04.16;353.9;355.2;355.8;350.4;80'361
