Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.2016;40.7;40.19;40.8;39.99;502'840
25.10.2016;40.54;40.68;40.92;40.49;709'747
24.10.2016;40.08;40.4;40.82;40.06;482'852
21.10.2016;40.03;40.03;40.2;39.84;507'752
20.10.2016;40.1;39.86;40.13;39.48;472'958
19.10.2016;39.71;40.04;40.1;39.52;425'866
18.10.2016;39.55;39.94;40.02;39.55;477'434
17.10.2016;39.85;39.48;39.97;39.43;695'906
14.10.2016;39.84;39.96;40.33;39.82;603'722
13.10.2016;40.55;39.7;40.6;39.39;962'610
12.10.2016;40.77;40.73;40.97;40.67;504'846
11.10.2016;40.41;40.67;40.99;40.39;890'959
10.10.2016;40.06;40.72;40.72;39.86;645'793
07.10.2016;40.75;40.26;40.75;40.05;667'016
06.10.2016;40.64;40.79;41.2;40.42;771'284
05.10.2016;39.9;40.61;40.78;39.87;824'275
04.10.2016;39.66;39.96;40.09;39.48;482'071
03.10.2016;39.45;39.51;39.76;39.3;489'850
30.09.2016;38.8;39.53;39.57;38.06;993'863
29.09.2016;40;39.36;40.12;39.22;377'380
28.09.2016;39.62;39.63;40.14;39.59;376'016
27.09.2016;40.06;39.56;40.06;38.97;894'374
26.09.2016;40.27;39.74;40.36;39.71;742'131
23.09.2016;40.88;40.57;40.88;40.22;475'637
22.09.2016;41.33;40.74;41.48;40.39;1'053'725
21.09.2016;41.46;41.04;41.94;41.04;800'037
20.09.2016;41.6;41.1;41.79;41.1;754'673
19.09.2016;41.8;41.85;41.95;41.6;269'250
16.09.2016;42.24;41.6;42.24;41.5;1'065'958
15.09.2016;42;42.3;42.33;41.88;382'027
14.09.2016;42.23;41.97;42.23;41.77;391'597
13.09.2016;42.15;42;42.56;42;501'019
12.09.2016;42;42.06;42.11;41.72;662'386
09.09.2016;42.78;42.85;43.32;42.69;588'467
08.09.2016;42.5;42.86;43.02;42.34;571'306
07.09.2016;42.25;42.71;42.72;41.89;524'197
06.09.2016;42.58;42.13;42.83;42.13;405'081
05.09.2016;42.59;42.58;42.71;42.1;419'111
02.09.2016;42.16;42.6;42.6;41.48;727'476
01.09.2016;41.43;41.95;42.39;41.34;969'612
31.08.2016;40.97;41.23;41.96;40.96;809'466
30.08.2016;40.45;41.01;41.19;40.45;598'957
29.08.2016;40.18;40.49;40.72;40.14;548'717
26.08.2016;39.82;40.17;40.17;39.68;446'380
25.08.2016;39.93;39.98;40.39;39.85;463'362
24.08.2016;39.71;40.29;40.55;39.65;486'935
23.08.2016;39.13;39.96;39.97;39.13;622'816
22.08.2016;39.27;39.09;39.44;38.96;652'132
19.08.2016;40.15;39.34;40.17;39.13;669'338
18.08.2016;40.67;40.18;40.73;40.03;493'421
17.08.2016;41.35;40.38;41.46;40.38;489'160
16.08.2016;41.45;41.28;41.49;41.03;415'981
15.08.2016;41.89;41.74;42.1;41.69;288'153
12.08.2016;42;41.83;42.12;41.74;322'512
11.08.2016;41.92;41.94;41.98;41.18;342'795
10.08.2016;41.56;41.71;41.97;41.49;310'092
09.08.2016;41.19;41.7;41.71;41.19;331'752
08.08.2016;41.08;41.29;42.06;41.08;560'371
05.08.2016;40.19;40.87;40.99;40.08;538'986
04.08.2016;39.64;40.19;40.4;39.63;641'704
03.08.2016;39.45;39.4;39.52;38.98;701'413
02.08.2016;39.7;39.34;39.77;39.14;745'180
29.07.2016;39.85;39.78;40.51;39.65;910'424
