Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;72.15;72.25;72.35;72;4'670'436
25.10.16;72.5;72.1;72.55;72.1;5'828'736
24.10.16;73.2;72.4;73.4;72.4;6'686'497
21.10.16;74.05;73.15;74.3;72.9;6'638'570
20.10.16;73.3;74.05;74.45;73.15;7'140'076
19.10.16;74.7;74.65;74.95;74.35;4'957'109
18.10.16;74.65;74.9;75.05;74.55;4'359'406
17.10.16;74.9;74.5;75.05;74.2;4'233'664
14.10.16;74.3;75.3;75.65;74.3;4'202'907
13.10.16;74.75;74.4;74.85;74.15;5'527'749
12.10.16;75.1;74.8;75.4;74.8;4'605'193
11.10.16;75.35;75.35;75.85;75.3;3'811'237
10.10.16;75.15;75.7;76;74.9;4'782'053
07.10.16;76.3;75.25;76.3;75.05;5'639'696
06.10.16;76.2;76.15;76.35;75.9;3'231'612
05.10.16;76.65;76.15;77.05;76.15;5'165'367
04.10.16;77;77.15;77.35;76.6;4'208'125
03.10.16;76.5;76.8;77;76.4;3'129'742
30.09.16;76.55;76.55;76.75;76.15;5'611'657
29.09.16;77.5;77.1;77.6;76.95;3'885'190
28.09.16;77.15;77.05;77.65;77;3'644'587
27.09.16;76.45;76.95;77.15;76.4;5'108'028
26.09.16;76.65;76.1;76.75;76.05;4'688'628
23.09.16;77.6;76.8;77.7;76.55;8'204'251
22.09.16;77.35;78.1;78.3;77.25;3'973'171
21.09.16;78;77.4;78;77.2;3'705'450
20.09.16;77.2;77.65;78;77;4'612'221
19.09.16;77;77.1;77.25;76.95;2'844'167
16.09.16;77.5;76.75;77.5;76.75;13'414'255
15.09.16;77.45;77.45;77.7;77.1;3'824'524
14.09.16;78;77.5;78;77.45;5'210'329
13.09.16;77.8;77.2;78;77.2;4'478'380
12.09.16;77.35;77.75;77.9;77.3;4'604'944
09.09.16;79.15;78.3;79.15;78;5'367'450
08.09.16;79.3;78.55;79.3;78.45;4'807'356
07.09.16;79.05;79.2;79.3;78.75;4'482'751
06.09.16;79.45;79.2;79.45;78.9;3'040'000
05.09.16;78.95;79.1;79.35;78.85;2'438'521
02.09.16;77.9;79.05;79.05;77.8;5'124'642
01.09.16;78.4;77.75;78.45;77.55;4'032'183
31.08.16;78.15;78.3;78.4;78;4'116'740
30.08.16;78.05;78.35;78.5;78.05;3'023'095
29.08.16;77.55;78;78;77.5;2'514'118
26.08.16;77.5;77.85;77.95;77.4;2'911'139
25.08.16;77.5;77.6;77.85;77.4;3'202'020
24.08.16;77.8;77.8;78.1;77.6;3'283'141
23.08.16;78.35;77.95;78.4;77.95;3'109'565
22.08.16;78.75;78.1;78.85;77.85;4'412'514
19.08.16;79.6;78.9;79.7;78.5;5'893'788
18.08.16;77.65;79.5;79.85;77.65;8'460'305
17.08.16;79.1;78.35;79.3;78.2;4'413'007
16.08.16;79.6;78.95;79.75;78.95;6'776'414
15.08.16;79.8;79.85;80.05;79.65;3'798'744
12.08.16;79.4;79.8;79.9;79.35;3'109'668
11.08.16;78.1;79.5;79.65;78.1;7'553'536
10.08.16;77.75;77.65;78.15;77.65;3'725'901
09.08.16;77.4;77.95;78.1;77.4;2'828'421
08.08.16;77.95;77.5;78.1;77.35;3'372'750
05.08.16;77.6;78.1;78.15;77.55;3'378'713
04.08.16;76.8;77.55;77.55;76.55;4'100'688
03.08.16;77.3;76.7;77.35;76.55;3'440'878
02.08.16;77.2;77.05;77.7;77.05;4'554'081
29.07.16;77.2;77.7;77.9;77.15;5'445'612
28.07.16;77.8;77.2;78;77.2;5'542'195
27.07.16;78.6;78;78.75;78;4'314'673
26.07.16;78.2;78.5;78.8;78.15;4'474'869
25.07.16;78.1;78.15;78.5;78.1;2'928'945
22.07.16;77.85;78.15;78.15;77.6;3'734'155
21.07.16;78;77.9;78.15;77.6;3'769'720
