Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;64.95;65.7;65.95;64.85;1'460'445
25.10.16;65.45;65.15;66.25;65.15;1'471'942
24.10.16;65.7;65.05;66.3;65.05;1'389'294
21.10.16;66.05;65.05;66.1;64.7;1'878'772
20.10.16;67;65.85;67;65.45;2'408'741
19.10.16;64.85;66.45;67.15;64.85;2'990'186
18.10.16;64.5;65.2;65.2;64;2'477'958
17.10.16;65.75;63.95;65.95;63.3;3'176'790
14.10.16;65.3;66.3;67.8;65.25;3'261'110
13.10.16;63.35;64.95;65.15;62.7;2'979'653
12.10.16;63.45;63.75;64.2;63.3;2'103'052
11.10.16;61.8;63.35;63.75;61.3;4'012'461
10.10.16;60.05;61.15;61.5;59.35;1'729'986
07.10.16;59.85;59.8;60.1;59.45;1'641'499
06.10.16;60.35;59.9;60.6;59.5;1'481'390
05.10.16;60.3;60.35;60.55;59.75;1'519'174
04.10.16;59.15;60.6;60.75;59.05;1'736'892
03.10.16;59.65;59.3;59.85;58.95;1'255'147
30.09.16;58.7;59.2;59.4;57.65;2'401'264
29.09.16;60;59.3;60.25;59.1;1'742'880
28.09.16;59;59.6;59.8;59;1'482'683
27.09.16;59.35;58.75;59.55;58.4;1'527'599
26.09.16;59;59.15;59.7;58.55;1'879'135
23.09.16;59.6;59.55;59.95;59.1;1'575'068
22.09.16;57.9;59.5;60.2;57.7;2'718'507
21.09.16;57.65;57.35;58.25;57.05;1'826'949
20.09.16;57.1;58.65;59.4;56.85;2'701'023
19.09.16;56.85;57.1;57.35;56.65;1'504'488
16.09.16;56.9;56.35;56.9;55.85;4'138'833
15.09.16;57;56.45;57.45;56;2'937'468
14.09.16;57.5;57.45;58.4;57.05;4'344'814
13.09.16;59.35;59.8;60.25;59.1;2'692'328
12.09.16;58.3;58.9;59;57.65;1'968'353
09.09.16;60;59.15;60.45;58.9;1'715'436
08.09.16;60.3;60.15;60.8;59.85;1'975'988
07.09.16;59.1;60;60.15;58.65;1'838'887
06.09.16;59.5;59.8;60;59.3;1'756'246
05.09.16;58.4;59.25;59.35;58.35;1'438'501
02.09.16;57.45;58.55;58.55;57;1'909'355
01.09.16;56.9;57.1;57.6;56.75;1'823'419
31.08.16;57.35;56.65;57.9;56.65;2'134'560
30.08.16;58.15;58.15;58.25;57.2;1'449'768
29.08.16;58.95;58.2;58.95;57.75;1'215'228
26.08.16;59.15;58.95;59.2;58.5;1'150'250
25.08.16;58.75;59.05;59.5;58.6;1'418'581
24.08.16;59.2;59.2;59.5;58.25;1'714'588
23.08.16;59.25;59.45;59.85;58.75;1'007'490
22.08.16;59.8;59.4;60.15;59.15;1'060'017
19.08.16;60.6;59.85;60.6;59.35;1'112'196
18.08.16;59.45;60.15;60.3;59.45;1'086'557
17.08.16;60.45;59.3;60.45;58.95;1'455'142
16.08.16;60.15;60.55;60.95;60.05;1'288'972
15.08.16;60.95;60.65;60.95;60.15;793'914
12.08.16;59.75;60.45;60.8;59.3;1'815'538
11.08.16;59.1;59.5;59.5;58.2;1'154'724
10.08.16;57.5;58.9;59.2;57.25;1'855'619
09.08.16;57.4;57.65;57.65;57;940'547
