Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
27.10.2016;226;230.3;231.1;225.5;1'907'617
26.10.2016;228;226.5;228.2;225.7;1'378'473
25.10.2016;230.3;228.2;230.9;228;1'594'585
24.10.2016;233.1;230.7;234;230;1'559'305
21.10.2016;232.1;232.3;233.3;231.6;1'364'962
20.10.2016;232.2;232.5;234.2;231.6;1'521'557
19.10.2016;234.8;233.8;235.1;233.3;1'138'901
18.10.2016;233;233.6;234.2;232.1;1'421'175
17.10.2016;235.8;232.7;235.8;232.6;1'267'726
14.10.2016;234.4;235.8;236.4;234.2;1'090'050
13.10.2016;235;234;235.1;231.8;1'424'948
12.10.2016;239.5;235.5;239.5;235.5;1'107'467
11.10.2016;240;238.9;241.9;238.7;1'116'494
10.10.2016;239.8;241;241.5;237.5;1'183'010
07.10.2016;238.6;238.3;240.1;237.6;1'078'537
06.10.2016;241.5;239.3;241.5;238.1;964'365
05.10.2016;241;240.7;241.4;239.3;868'744
04.10.2016;240;241.9;242.6;240;1'227'453
03.10.2016;242.4;241.7;243.4;241.1;732'832
30.09.2016;240.3;241;241;237.3;1'675'706
29.09.2016;245.4;241.8;246.1;241;1'185'036
28.09.2016;244.4;244.6;246;243.7;939'040
27.09.2016;243.8;243.5;244.1;241.1;1'109'484
26.09.2016;243.4;242.1;244.1;242;1'094'313
23.09.2016;244.4;245.5;245.5;243.9;1'031'705
22.09.2016;245.1;245.1;246;243.5;1'210'313
21.09.2016;246.9;243.6;246.9;243.6;1'281'456
20.09.2016;241.2;244.6;246.9;240.9;1'179'170
19.09.2016;240.6;242.5;243.1;240.6;971'850
16.09.2016;240.5;240.1;242;239;3'049'956
15.09.2016;237.8;239.5;239.9;237.3;958'639
14.09.2016;239;238.8;239.8;237.8;895'135
13.09.2016;240.6;238.8;240.9;238.7;940'064
12.09.2016;237.4;239;239.3;236.4;864'007
09.09.2016;241.6;240;241.9;239.6;914'160
08.09.2016;243.1;242.7;243.9;241.2;914'214
07.09.2016;243;242.9;243.5;241.3;1'112'553
06.09.2016;243.2;243.6;244.1;242.8;758'682
05.09.2016;243;243.1;244.3;242.6;779'316
02.09.2016;238.1;242.9;242.9;238.1;1'353'117
01.09.2016;240;237.5;241.1;236.4;1'342'663
31.08.2016;243.5;239.8;243.9;239.1;1'397'017
30.08.2016;242;242.9;243.7;241.9;988'125
29.08.2016;240.5;242;242.6;240.3;664'017
26.08.2016;240;240.9;241;238.4;812'771
25.08.2016;241.7;240.3;241.7;238.4;1'214'297
24.08.2016;243.3;243.5;245.1;242.8;954'101
23.08.2016;244.4;244.7;245.5;243.9;666'801
22.08.2016;243.3;244.3;245.6;241.9;1'003'965
19.08.2016;244.4;242.5;244.6;241.6;920'849
18.08.2016;245.1;243.4;245.1;242.2;748'115
17.08.2016;245.3;244;245.6;243.1;887'582
16.08.2016;247.5;245.4;248.4;245.2;1'070'835
15.08.2016;248.2;248.8;249.5;247.6;566'946
12.08.2016;249.1;248.5;249.4;247.6;683'562
11.08.2016;248.7;248.9;249.1;247.4;723'405
10.08.2016;248.6;247.5;250.7;247.5;948'126
09.08.2016;247.9;248.8;249.3;246.7;621'376
08.08.2016;251.9;247.2;251.9;246.7;1'084'951
05.08.2016;246.2;250.3;253.1;244.5;1'777'741
04.08.2016;244;245.7;245.8;242.7;1'040'852
03.08.2016;246.3;244;246.5;242.4;1'193'444
02.08.2016;247.5;245.4;247.9;245.4;1'200'854
29.07.2016;245.1;247.5;248.5;244.6;1'483'608
28.07.2016;248.8;245.5;250.9;245.5;1'403'053
27.07.2016;251.5;249.3;251.5;248.7;858'711
26.07.2016;249.2;250.3;251.1;248.4;991'761
25.07.2016;248.8;248.8;249.8;247.5;969'402
22.07.2016;249.4;249.8;250.8;248.2;926'960
21.07.2016;254;250;254;249.3;1'168'461
20.07.2016;251.8;253;253.9;251.4;816'079
19.07.2016;252.8;250.5;252.9;249.1;1'026'380
18.07.2016;252.1;253.2;254.2;250.1;1'513'562
15.07.2016;256.1;255.6;256.1;253.7;1'149'750
14.07.2016;255.6;254.1;256.3;253.3;969'522
13.07.2016;254.9;255;255.7;254.2;1'155'142
12.07.2016;256.4;255.5;256.5;253.9;1'047'856
11.07.2016;255.1;255.9;256.8;254;917'392
08.07.2016;251.8;254.5;254.5;250.1;1'009'235
07.07.2016;253.3;252.9;255;252;1'162'200
06.07.2016;251;251.4;253.4;249.4;1'425'508
05.07.2016;254.5;252.5;255.7;251.5;1'024'021
04.07.2016;256;255.8;257.5;254.3;780'218
01.07.2016;257;256.7;257.3;255;1'027'224
30.06.2016;253.4;256.1;256.3;252.8;1'661'981
29.06.2016;249.5;254.2;254.2;248.2;1'580'386
28.06.2016;245.1;246.2;247.6;243.8;1'558'343
27.06.2016;240.2;240.9;244.5;239.5;2'091'481
24.06.2016;234;241;245.7;230;2'885'408
23.06.2016;245.4;246.5;248.5;244.2;1'204'296
22.06.2016;246.5;246.3;246.6;243.4;1'492'584
21.06.2016;245.8;246;246.6;244.4;1'089'207
20.06.2016;245;245.8;248;244.3;1'315'060
17.06.2016;241.7;240.4;243.6;240.4;4'024'846
16.06.2016;239.7;239;240.7;237.1;1'600'715
15.06.2016;241.9;240.8;244.2;240.8;1'312'492
14.06.2016;243.1;240.6;245.3;240.6;1'835'041
13.06.2016;248.5;245.5;249.4;245.5;1'513'156
10.06.2016;256.8;250.8;256.8;250.1;1'352'692
09.06.2016;256.6;256.5;257.8;255.6;1'063'550
08.06.2016;259.5;257.5;259.8;256.3;1'087'324
07.06.2016;259.8;260.9;260.9;258.9;1'234'100
06.06.2016;258.1;258.6;259.3;257.2;754'574
03.06.2016;259.9;258.2;260.5;255.7;1'321'853
02.06.2016;260.1;259.9;261.2;259.4;1'071'799
01.06.2016;260;259.8;261.8;259.2;997'907
31.05.2016;262;260.9;263;258.6;1'875'958
30.05.2016;264.9;262;265;261.7;813'955
27.05.2016;261;263.4;265.2;261;3'257'862
26.05.2016;252.3;253.2;253.8;251.5;827'105
25.05.2016;252;252.6;254;251.2;1'152'993
24.05.2016;246.5;251.1;251.9;246;1'170'544
23.05.2016;247;247.9;249.3;245.5;1'019'332
20.05.2016;244.9;247.1;248.6;244.1;1'689'095
19.05.2016;243.4;242.1;244.4;242.1;1'033'338
18.05.2016;243;245.3;245.3;242.2;1'040'973
17.05.2016;246;243.9;246.6;242.7;1'167'129
13.05.2016;242.1;245.1;246.1;241.7;996'532
12.05.2016;243.3;242.8;246.6;241.6;956'475
11.05.2016;244.2;244;244.3;242.2;744'600
10.05.2016;242.5;244.2;246;242;1'264'840
09.05.2016;236.6;240.2;241.3;235.8;1'377'555
06.05.2016;235.4;234.1;236.4;233.3;1'377'671
04.05.2016;240;236.6;241.7;236.6;1'084'391
03.05.2016;242.6;240.5;242.8;238.9;1'185'045
02.05.2016;241.8;242.7;243.6;241.8;678'490
