Datum;Eršffnung;Schluss;Tageshoch;Tagestief;Umsatz (St.)
26.10.16;457.6;456.6;460.4;454.3;107'135
25.10.16;454.2;457.7;461.3;454.2;162'244
24.10.16;455.9;453.5;457;453.5;90'051
21.10.16;454.1;454.1;455;450.9;99'395
20.10.16;453.5;452.9;454.3;450.5;109'477
19.10.16;453.9;453.4;454.2;451.3;107'009
18.10.16;453.4;454;454.4;450;118'408
17.10.16;452.2;450.6;453.5;449.8;96'187
14.10.16;451.3;452.4;454.6;451.3;112'444
13.10.16;450.5;449;450.8;445.8;143'419
12.10.16;453.2;451.5;455.8;451.5;121'842
11.10.16;451.5;453.2;457.4;451.1;103'926
10.10.16;450;452;453.1;446.2;107'428
07.10.16;452.5;449.9;453.1;449.1;129'349
06.10.16;457.8;451.8;457.9;448.2;148'596
05.10.16;458.7;456.5;459;455.2;127'341
04.10.16;459.5;461.3;462.7;458.9;134'317
03.10.16;461.5;458.7;463;456.9;112'284
30.09.16;460;461.7;461.7;456.4;152'187
29.09.16;467.9;462.6;468.3;461.5;120'389
28.09.16;468.9;465.1;471;464;129'173
27.09.16;469.8;467.1;469.8;463.7;93'259
26.09.16;471;467.8;471.2;466.7;100'708
23.09.16;473.5;474;474.1;471.1;113'029
22.09.16;472.6;476.5;478.2;470.4;104'825
21.09.16;470.4;469.8;474.1;468.5;101'874
20.09.16;467.7;467.8;471.4;464.1;113'500
19.09.16;470.3;468.7;472.7;466.6;86'905
16.09.16;465;467.7;468.6;463.6;204'802
15.09.16;461.7;463.4;464.7;458.9;88'464
14.09.16;467.3;463.3;467.3;461.4;104'917
13.09.16;471.7;466.1;472.4;466.1;98'740
12.09.16;470.6;470;470.6;466.6;82'710
09.09.16;477.9;474.7;478.8;472.6;88'403
08.09.16;478.5;479.4;479.5;474.7;75'403
07.09.16;478;478;480;475.3;65'011
06.09.16;477.2;478;478;474.9;75'702
05.09.16;476.3;477.3;478.4;475.2;81'308
02.09.16;467.4;474.7;475.4;466.6;131'565
01.09.16;470;466.3;471.2;464.6;117'734
31.08.16;471.5;469.9;472.2;468.6;93'107
30.08.16;469.6;470.9;474;469.6;86'805
29.08.16;469.2;469.8;470.5;467;48'282
26.08.16;469.6;471.2;472;467.6;80'632
25.08.16;466.9;469.1;470.6;466.6;92'464
24.08.16;468.4;468.5;471;466.9;65'580
23.08.16;469;468.4;470.2;466.4;77'657
22.08.16;464.7;466.7;470.9;464.7;101'247
19.08.16;470.9;466.3;471.5;464.7;140'303
18.08.16;487.9;471.9;487.9;462.3;318'848
17.08.16;483;479.5;484.9;479;78'701
16.08.16;484.9;482.5;486;480.4;88'628
15.08.16;486;486.8;487;484.9;47'873
12.08.16;485.7;487;488;484.4;54'412
11.08.16;485;486.8;486.8;483.5;84'541
10.08.16;484.9;483.6;485.2;482.7;81'230
09.08.16;480.6;485.2;485.2;479.8;79'445
08.08.16;479.5;480;481.4;477.2;53'428
05.08.16;475.9;479.8;480.5;475.9;86'453
04.08.16;475.1;475.7;476.2;470.7;76'988
