"original" "yahoo" "onvista" "google"
"ASX" "^AORD" "8313426" "INDEXASX:XAO"
"BSE" "^BSESN" "8313421" "INDEXBOM:SENSEX"
"DAXK" "^GDAXIP" "1966970" "INDEXDB:DAXK"
"DJAI" "^DJI" "324977" "NYSEARCA:DIA"
"EuroStoxx50" "XSSX.MI" "193736" "TLV:INDEU.11"
"FSSTI" "^STI" "8313425" "INDEXFTSE:WISGP"
"FTSE100" "^FTSE" "1918069" "INDEXFTSE:UKX"
"HSI" "^HSI" "8313314" "INDEXHANGSENG:HSI"
"IDX" NA "8313316" "NYSEARCA:IDX"
"ISE100" "XU100.IS" "8313320" "INDEXIST:XU100"
"JSE" NA "8313322" NA
"KLSE" "^KLSE" "29831406" "KLSE:0820EA"
"MERV" "^MERV" "8384721" "BCBA:IMV"
"Nikkei225" "^N225" "60972397" "INDEXNIKKEI:NI225"
"OBX" "OBX.OL" "15321315" "STO:DNBNOR-OBXO"
"OMXS30" "^OMX" "248271" "INDEXNASDAQ:OMXS30"
"RTSI" "RTS.RS" "8313419" "MCX:RTSI"
"SMI20" "^SSMI" "1555183" "INDEXSWX:SMI"
"SSEC" "^SSEC" "16440923" "SHA:000001"
"TSX" "^GSPTSE" "8384722" "INDEXTSI:OSPTX"
"WIG20" NA "7907746" "WSE:WIG20"
"IPC" NA "8313319" NA
