"date";"start";"high";"low";"end";"onvista";"index"
1990-01-02;417.43;417.43;417.43;417.43;"8313319";"IPC"
1990-01-03;420.88;420.88;420.88;420.88;"8313319";"IPC"
1990-01-04;430.4;430.4;430.4;430.4;"8313319";"IPC"
1990-01-05;434.43;434.43;434.43;434.43;"8313319";"IPC"
1990-01-08;432.49;432.49;432.49;432.49;"8313319";"IPC"
1990-01-09;437.06;437.06;437.06;437.06;"8313319";"IPC"
1990-01-10;439.02;439.02;439.02;439.02;"8313319";"IPC"
1990-01-11;443.42;443.42;443.42;443.42;"8313319";"IPC"
1990-01-12;436.46;436.46;436.46;436.46;"8313319";"IPC"
1990-01-15;431.54;431.54;431.54;431.54;"8313319";"IPC"
1990-01-16;432.12;432.12;432.12;432.12;"8313319";"IPC"
1990-01-17;438.65;438.65;438.65;438.65;"8313319";"IPC"
1990-01-18;436.11;436.11;436.11;436.11;"8313319";"IPC"
1990-01-19;439.52;439.52;439.52;439.52;"8313319";"IPC"
1990-01-22;437.91;437.91;437.91;437.91;"8313319";"IPC"
1990-01-23;436.56;436.56;436.56;436.56;"8313319";"IPC"
1990-01-24;430.16;430.16;430.16;430.16;"8313319";"IPC"
1990-01-25;435.99;435.99;435.99;435.99;"8313319";"IPC"
1990-01-26;436.91;436.91;436.91;436.91;"8313319";"IPC"
1990-01-29;436.34;436.34;436.34;436.34;"8313319";"IPC"
1990-01-30;437.26;437.26;437.26;437.26;"8313319";"IPC"
1990-01-31;444.75;444.75;444.75;444.75;"8313319";"IPC"
1990-02-01;452.25;452.25;452.25;452.25;"8313319";"IPC"
1990-02-02;454.24;454.24;454.24;454.24;"8313319";"IPC"
1990-02-06;451.54;451.54;451.54;451.54;"8313319";"IPC"
1990-02-07;456.43;456.43;456.43;456.43;"8313319";"IPC"
1990-02-08;462.52;462.52;462.52;462.52;"8313319";"IPC"
1990-02-09;465.97;465.97;465.97;465.97;"8313319";"IPC"
1990-02-12;471.7;471.7;471.7;471.7;"8313319";"IPC"
1990-02-13;480.03;480.03;480.03;480.03;"8313319";"IPC"
1990-02-14;480.15;480.15;480.15;480.15;"8313319";"IPC"
1990-02-15;479.34;479.34;479.34;479.34;"8313319";"IPC"
1990-02-16;477.64;477.64;477.64;477.64;"8313319";"IPC"
1990-02-19;476.46;476.46;476.46;476.46;"8313319";"IPC"
1990-02-20;476.32;476.32;476.32;476.32;"8313319";"IPC"
1990-02-21;474.63;474.63;474.63;474.63;"8313319";"IPC"
1990-02-22;481.16;481.16;481.16;481.16;"8313319";"IPC"
1990-02-23;482.45;482.45;482.45;482.45;"8313319";"IPC"
